"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":5976},{""page_index"":1,""viewing_time"":1582},{""page_index"":2,""viewing_time"":4938},{""page_index"":3,""viewing_time"":6011}]","18507","instructions","0","null","18527","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","","","","","","",""
"","4743","image-button-response","1","null","24281","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2017","image-button-response","2","null","26804","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","14534","image-button-response","3","null","41844","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-014.png","0","Airplane","59-014.png"
"","11730","image-button-response","4","null","54079","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-013.png","0","Airplane","34-013.png"
"","6615","image-button-response","5","null","61200","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-013.png","7","Hat","91-013.png"
"","13005","image-button-response","6","null","74712","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-010.png","10","Tree","34-010.png"
"","9377","image-button-response","7","null","84595","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-009.png","5","Chair","4-009.png"
"","5022","image-button-response","8","null","90122","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-006.png","3","Car","91-006.png"
"","7186","image-button-response","9","null","97814","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-010.png","4","Cat","66-010.png"
"","4413","image-button-response","10","null","102734","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-016.png","7","Hat","59-016.png"
"","14528","image-button-response","11","null","117769","685c6ca90f751d3aae6b1794","685c6e13a3bc91461e7e5c6c","665626b7534c56c66e19d0f2","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-015.png","2","Bird","4-015.png"
