"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":4037},{""page_index"":1,""viewing_time"":2197},{""page_index"":2,""viewing_time"":4954},{""page_index"":3,""viewing_time"":3700}]","14888","instructions","0","null","14897","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","","","","","","",""
"","2124","image-button-response","1","null","18041","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1883","image-button-response","2","null","20429","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","11872","image-button-response","3","null","32809","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-015.png","1","Bicycle","18-015.png"
"","2625","image-button-response","4","null","35945","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-010.png","1","Bicycle","80-010.png"
"","2319","image-button-response","5","null","38771","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-014.png","8","House","37-014.png"
"","13765","image-button-response","6","null","53041","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-005.png","2","Bird","79-005.png"
"","3757","image-button-response","7","null","57305","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-010.png","10","Tree","82-010.png"
"","4571","image-button-response","8","null","62381","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-007.png","10","Tree","15-007.png"
"","3258","image-button-response","9","null","66157","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-007.png","6","Cup","84-007.png"
"","5861","image-button-response","10","null","72520","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-013.png","5","Chair","19-013.png"
"","3833","image-button-response","11","null","76870","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-016.png","5","Chair","120-016.png"
"","3995","image-button-response","12","null","81373","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-008.png","7","Hat","39-008.png"
"","4769","image-button-response","13","null","86659","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-005.png","2","Bird","47-005.png"
"","3056","image-button-response","14","null","90232","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-011.png","6","Cup","78-011.png"
"","6999","image-button-response","15","null","97744","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-006.png","0","Airplane","36-006.png"
"","7071","image-button-response","16","null","105321","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-008.png","4","Cat","14-008.png"
"","3519","image-button-response","17","null","109347","685c6ca90f751d3aae6b1794","685c6f283fc150750f7dc4df","665cbb56d9ecb20564b9b607","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-005.png","2","Bird","119-005.png"
