"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":5065},{""page_index"":1,""viewing_time"":2624},{""page_index"":2,""viewing_time"":3248},{""page_index"":3,""viewing_time"":11332}]","22269","instructions","0","null","22290","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","","","","","","",""
"","2837","image-button-response","1","null","26139","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2780","image-button-response","2","null","29430","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","20814","image-button-response","3","null","50745","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-016.png","7","Hat","7-016.png"
"","15452","image-button-response","4","null","66699","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-009.png","4","Cat","108-009.png"
"","4696","image-button-response","5","null","71912","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-012.png","7","Hat","50-012.png"
"","13733","image-button-response","6","null","86162","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-013.png","6","Cup","6-013.png"
"","4925","image-button-response","7","null","91591","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-007.png","5","Chair","108-007.png"
"","3531","image-button-response","8","null","95628","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-016.png","4","Cat","50-016.png"
"","6631","image-button-response","9","null","102760","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-011.png","4","Cat","68-011.png"
"","9523","image-button-response","10","null","112795","685c6ca90f751d3aae6b1794","685c6e2d1ed63af98e05aaf2","668ebf594982c57c983cd910","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-009.png","5","Chair","6-009.png"
