"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":11760},{""page_index"":1,""viewing_time"":5919},{""page_index"":2,""viewing_time"":6826},{""page_index"":3,""viewing_time"":16296}]","40802","instructions","0","null","40837","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","","","","","","",""
"","2541","image-button-response","1","null","44408","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1899","image-button-response","2","null","46833","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","8360","image-button-response","3","null","55711","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-016.png","3","Car","69-016.png"
"","4826","image-button-response","4","null","61063","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-012.png","11","Watch","69-012.png"
"","16639","image-button-response","5","null","78223","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-014.png","7","Hat","29-014.png"
"","25582","image-button-response","6","null","104320","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-012.png","1","Bicycle","29-012.png"
"","5892","image-button-response","7","null","110723","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-010.png","10","Tree","7-010.png"
"","9473","image-button-response","8","null","120720","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-010.png","10","Tree","8-010.png"
"","4037","image-button-response","9","null","125268","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-009.png","5","Chair","28-009.png"
"","3735","image-button-response","10","null","129521","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-015.png","11","Watch","95-015.png"
"","9156","image-button-response","11","null","139191","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-007.png","11","Watch","27-007.png"
"","5391","image-button-response","12","null","145098","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-008.png","4","Cat","28-008.png"
"","5236","image-button-response","13","null","150852","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-009.png","10","Tree","110-009.png"
"","5287","image-button-response","14","null","156663","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-005.png","10","Tree","96-005.png"
"","4022","image-button-response","15","null","161194","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-015.png","7","Hat","110-015.png"
"","7853","image-button-response","16","null","169553","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-012.png","6","Cup","8-012.png"
"","6387","image-button-response","17","null","176460","685c6ca90f751d3aae6b1794","685c6e274bd9c83d8500c2d4","66cbd449c6029aaeeafcb71f","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-006.png","0","Airplane","51-006.png"
