"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":20993},{""page_index"":1,""viewing_time"":2967},{""page_index"":2,""viewing_time"":2983},{""page_index"":3,""viewing_time"":3945}]","30888","instructions","0","null","30895","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","","","","","","",""
"","3435","image-button-response","1","null","35343","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2534","image-button-response","2","null","38383","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","5561","image-button-response","3","null","44447","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-012.png","10","Tree","108-012.png"
"","10002","image-button-response","4","null","54951","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-006.png","11","Watch","51-006.png"
"","6457","image-button-response","5","null","61911","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-014.png","0","Airplane","108-014.png"
"","13954","image-button-response","6","null","76375","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-007.png","7","Hat","7-007.png"
"","7114","image-button-response","7","null","83998","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-006.png","11","Watch","94-006.png"
"","6463","image-button-response","8","null","90966","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-016.png","1","Bicycle","108-016.png"
"","8223","image-button-response","9","null","99695","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-015.png","7","Hat","7-015.png"
"","3758","image-button-response","10","null","103959","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-012.png","1","Bicycle","94-012.png"
"","10774","image-button-response","11","null","115239","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-005.png","5","Chair","7-005.png"
"","4654","image-button-response","12","null","120398","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-007.png","10","Tree","94-007.png"
"","3921","image-button-response","13","null","124823","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-005.png","11","Watch","63-005.png"
"","4536","image-button-response","14","null","129870","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-015.png","6","Cup","63-015.png"
"","7936","image-button-response","15","null","138320","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-008.png","11","Watch","51-008.png"
"","7559","image-button-response","16","null","146390","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-007.png","3","Car","63-007.png"
"","9028","image-button-response","17","null","155926","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-010.png","5","Chair","94-010.png"
"","7121","image-button-response","18","null","163551","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-011.png","1","Bicycle","51-011.png"
"","2914","image-button-response","19","null","166967","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-006.png","8","House","63-006.png"
"","2470","image-button-response","20","null","169951","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-016.png","3","Car","27-016.png"
"","3450","image-button-response","21","null","173903","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-007.png","5","Chair","108-007.png"
"","7850","image-button-response","22","null","182254","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-015.png","8","House","94-015.png"
"","2955","image-button-response","23","null","185727","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","5349","image-button-response","24","null","191582","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-015.png","3","Car","51-015.png"
"","6565","image-button-response","25","null","198664","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-014.png","5","Chair","27-014.png"
"","6670","image-button-response","26","null","205847","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-016.png","2","Bird","7-016.png"
"","5977","image-button-response","27","null","212327","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-006.png","8","House","108-006.png"
"","2474","image-button-response","28","null","215318","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-008.png","8","House","108-008.png"
"","4646","image-button-response","29","null","220479","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-008.png","4","Cat","63-008.png"
"","4969","image-button-response","30","null","225950","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-012.png","1","Bicycle","63-012.png"
"","4587","image-button-response","31","null","231038","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-007.png","2","Bird","51-007.png"
"","5826","image-button-response","32","null","237374","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-011.png","0","Airplane","94-011.png"
"","6963","image-button-response","33","null","244849","685c6ca90f751d3aae6b1794","685c6e1fee038fbffbb57bb8","66d62734985c822b67585824","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-005.png","9","Rabbit","27-005.png"
