"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":6770},{""page_index"":1,""viewing_time"":2381},{""page_index"":2,""viewing_time"":4388},{""page_index"":3,""viewing_time"":7008}]","20546","instructions","0","null","20558","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","","","","","","",""
"","3796","image-button-response","1","null","25357","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2079","image-button-response","2","null","27953","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","9170","image-button-response","3","null","37639","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-013.png","4","Cat","107-013.png"
"","7970","image-button-response","4","null","46111","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-005.png","0","Airplane","50-005.png"
"","15707","image-button-response","5","null","62322","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-011.png","6","Cup","6-011.png"
"","3347","image-button-response","6","null","66172","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-015.png","10","Tree","68-015.png"
"","3926","image-button-response","7","null","70600","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-016.png","11","Watch","93-016.png"
"","1835","image-button-response","8","null","72936","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-014.png","10","Tree","93-014.png"
"","1625","image-button-response","9","null","75077","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-010.png","10","Tree","107-010.png"
"","3259","image-button-response","10","null","78838","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-011.png","8","House","26-011.png"
"","1254","image-button-response","11","null","80605","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-012.png","8","House","26-012.png"
"","1049","image-button-response","12","null","82156","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-014.png","8","House","26-014.png"
"","2793","image-button-response","13","null","85459","685c6ca90f751d3aae6b1794","685c6e24fe8d6b3f08ccb9bd","66e99d20cc408a0176e37b3a","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-010.png","8","House","6-010.png"
