"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":39813},{""page_index"":1,""viewing_time"":10832},{""page_index"":2,""viewing_time"":6698},{""page_index"":3,""viewing_time"":10075}]","67419","instructions","0","null","67434","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","","","","","","",""
"","3426","image-button-response","1","null","71875","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1996","image-button-response","2","null","74377","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","34023","image-button-response","3","null","108904","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-007.png","10","Tree","15-007.png"
"","34387","image-button-response","4","null","143809","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-005.png","11","Watch","44-005.png"
"","7040","image-button-response","5","null","151354","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-006.png","0","Airplane","35-006.png"
"","12255","image-button-response","6","null","164117","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-016.png","4","Cat","44-016.png"
"","5261","image-button-response","7","null","169886","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-005.png","9","Rabbit","76-005.png"
"","4468","image-button-response","8","null","174872","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-011.png","3","Car","44-011.png"
"","2987","image-button-response","9","null","178374","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-006.png","10","Tree","116-006.png"
"","7929","image-button-response","10","null","186808","685c6ca90f751d3aae6b1794","685c6e66129d5dabafcb3ff9","66f05e51545ecf68df96f480","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-008.png","10","Tree","15-008.png"
