"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":14923},{""page_index"":1,""viewing_time"":6569},{""page_index"":2,""viewing_time"":9873},{""page_index"":3,""viewing_time"":11385}]","42751","instructions","0","null","42770","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","","","","","","",""
"","3769","image-button-response","1","null","47544","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1838","image-button-response","2","null","49886","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","26426","image-button-response","3","null","76815","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-010.png","7","Hat","9-010.png"
"","20142","image-button-response","4","null","97460","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-010.png","9","Rabbit","53-010.png"
"","17753","image-button-response","5","null","115716","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-006.png","0","Airplane","29-006.png"
"","3264","image-button-response","6","null","119482","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-011.png","6","Cup","30-011.png"
"","2459","image-button-response","7","null","122444","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-013.png","8","House","30-013.png"
"","3396","image-button-response","8","null","126343","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-011.png","10","Tree","54-011.png"
"","3091","image-button-response","9","null","129938","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-016.png","10","Tree","97-016.png"
"","2186","image-button-response","10","null","132626","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-013.png","0","Airplane","97-013.png"
"","23666","image-button-response","11","null","156795","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-008.png","5","Chair","29-008.png"
"","4601","image-button-response","12","null","161897","685c6ca90f751d3aae6b1794","685c6e2c2e7207a674be918c","66f59bc8a771db6db1bc18b6","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-014.png","8","House","111-014.png"
