"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":8276},{""page_index"":1,""viewing_time"":3941},{""page_index"":2,""viewing_time"":4921},{""page_index"":3,""viewing_time"":8734}]","25872","instructions","0","null","25879","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","","","","","","",""
"","5145","image-button-response","1","null","32031","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2681","image-button-response","2","null","35226","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3678","image-button-response","3","null","39406","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-013.png","5","Chair","63-013.png"
"","18410","image-button-response","4","null","58319","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-014.png","0","Airplane","108-014.png"
"","67274","image-button-response","5","null","126095","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-008.png","0","Airplane","51-008.png"
"","9289","image-button-response","6","null","135888","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-005.png","4","Cat","107-005.png"
"","8849","image-button-response","7","null","145238","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-008.png","3","Car","7-008.png"
"","2206","image-button-response","8","null","147959","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-016.png","3","Car","27-016.png"
"","71941","image-button-response","9","null","220414","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-006.png","5","Chair","7-006.png"
"","2481","image-button-response","10","null","223398","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-012.png","1","Bicycle","63-012.png"
"","1351","image-button-response","11","null","225253","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","6388","image-button-response","12","null","232153","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-010.png","6","Cup","51-010.png"
"","2119","image-button-response","13","null","234784","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-006.png","8","House","107-006.png"
"","19908","image-button-response","14","null","255194","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-006.png","7","Hat","27-006.png"
"","1815","image-button-response","15","null","257511","685c6ca90f751d3aae6b1794","685c6e3633033b4721211541","67001b28a9974a03b6ffec54","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-014.png","8","House","26-014.png"
