"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":12883},{""page_index"":1,""viewing_time"":5550},{""page_index"":2,""viewing_time"":6133},{""page_index"":3,""viewing_time"":19101}]","43668","instructions","0","null","43683","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","","","","","","",""
"","2075","image-button-response","1","null","46766","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2044","image-button-response","2","null","49316","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3179","image-button-response","3","null","52999","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-005.png","3","Car","24-005.png"
"","16330","image-button-response","4","null","69832","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-012.png","10","Tree","24-012.png"
"","23513","image-button-response","5","null","93849","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-009.png","4","Cat","3-009.png"
"","10579","image-button-response","6","null","104932","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-014.png","0","Airplane","58-014.png"
"","6696","image-button-response","7","null","112132","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-009.png","5","Chair","104-009.png"
"","16380","image-button-response","8","null","129015","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-016.png","6","Cup","24-016.png"
"","10292","image-button-response","9","null","139816","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-011.png","4","Cat","24-011.png"
"","3146","image-button-response","10","null","143465","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-013.png","10","Tree","24-013.png"
"","15630","image-button-response","11","null","159598","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-010.png","6","Cup","65-010.png"
"","5414","image-button-response","12","null","165516","685c6ca90f751d3aae6b1794","685c6e109c80f13482510c9b","6700913b83a64ec85e20319a","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-014.png","6","Cup","24-014.png"
