"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":36564},{""page_index"":1,""viewing_time"":4961},{""page_index"":2,""viewing_time"":4252},{""page_index"":3,""viewing_time"":4298}]","50076","instructions","0","null","50092","685c6ca90f751d3aae6b1794","685c7104addba569d316f9aa","671137bfe81fc6cf620ce313","","","","","","",""
"","4741","image-button-response","1","null","55857","685c6ca90f751d3aae6b1794","685c7104addba569d316f9aa","671137bfe81fc6cf620ce313","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1686","image-button-response","2","null","58047","685c6ca90f751d3aae6b1794","685c7104addba569d316f9aa","671137bfe81fc6cf620ce313","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","8984","image-button-response","3","null","67546","685c6ca90f751d3aae6b1794","685c7104addba569d316f9aa","671137bfe81fc6cf620ce313","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-009.png","10","Tree","88-009.png"
"","3348","image-button-response","4","null","71409","685c6ca90f751d3aae6b1794","685c7104addba569d316f9aa","671137bfe81fc6cf620ce313","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-014.png","8","House","62-014.png"
"","5223","image-button-response","5","null","77142","685c6ca90f751d3aae6b1794","685c7104addba569d316f9aa","671137bfe81fc6cf620ce313","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-013.png","2","Bird","82-013.png"
"","7833","image-button-response","6","null","85493","685c6ca90f751d3aae6b1794","685c7104addba569d316f9aa","671137bfe81fc6cf620ce313","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-016.png","4","Cat","65-016.png"
"","6176","image-button-response","7","null","92188","685c6ca90f751d3aae6b1794","685c7104addba569d316f9aa","671137bfe81fc6cf620ce313","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-013.png","9","Rabbit","79-013.png"
"","11723","image-button-response","8","null","104432","685c6ca90f751d3aae6b1794","685c7104addba569d316f9aa","671137bfe81fc6cf620ce313","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-008.png","6","Cup","107-008.png"
"","4668","image-button-response","9","null","109616","685c6ca90f751d3aae6b1794","685c7104addba569d316f9aa","671137bfe81fc6cf620ce313","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-011.png","4","Cat","112-011.png"
