"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":9122},{""page_index"":1,""viewing_time"":4800},{""page_index"":2,""viewing_time"":5448},{""page_index"":3,""viewing_time"":6510}]","25880","instructions","0","null","25884","685c6ca90f751d3aae6b1794","685c6e0a6daf9966eb4cc5c6","671dbdc5832887cd06ced6be","","","","","","",""
"","4800","image-button-response","1","null","31692","685c6ca90f751d3aae6b1794","685c6e0a6daf9966eb4cc5c6","671dbdc5832887cd06ced6be","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2954","image-button-response","2","null","35157","685c6ca90f751d3aae6b1794","685c6e0a6daf9966eb4cc5c6","671dbdc5832887cd06ced6be","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3205","image-button-response","3","null","38873","685c6ca90f751d3aae6b1794","685c6e0a6daf9966eb4cc5c6","671dbdc5832887cd06ced6be","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-006.png","0","Airplane","104-006.png"
"","15484","image-button-response","4","null","54867","685c6ca90f751d3aae6b1794","685c6e0a6daf9966eb4cc5c6","671dbdc5832887cd06ced6be","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-010.png","9","Rabbit","23-010.png"
"","18912","image-button-response","5","null","74288","685c6ca90f751d3aae6b1794","685c6e0a6daf9966eb4cc5c6","671dbdc5832887cd06ced6be","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-005.png","2","Bird","89-005.png"
"","2971","image-button-response","6","null","77761","685c6ca90f751d3aae6b1794","685c6e0a6daf9966eb4cc5c6","671dbdc5832887cd06ced6be","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-009.png","7","Hat","103-009.png"
"","9359","image-button-response","7","null","87623","685c6ca90f751d3aae6b1794","685c6e0a6daf9966eb4cc5c6","671dbdc5832887cd06ced6be","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-014.png","5","Chair","23-014.png"
"","4404","image-button-response","8","null","92538","685c6ca90f751d3aae6b1794","685c6e0a6daf9966eb4cc5c6","671dbdc5832887cd06ced6be","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-013.png","2","Bird","56-013.png"
"","11684","image-button-response","9","null","104731","685c6ca90f751d3aae6b1794","685c6e0a6daf9966eb4cc5c6","671dbdc5832887cd06ced6be","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-009.png","10","Tree","23-009.png"
