"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":4382},{""page_index"":1,""viewing_time"":5077},{""page_index"":2,""viewing_time"":5172},{""page_index"":3,""viewing_time"":11411}]","26043","instructions","0","null","26048","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","","","","","","",""
"","1949","image-button-response","1","null","29001","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1671","image-button-response","2","null","31186","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","7882","image-button-response","3","null","39571","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-009.png","6","Cup","90-009.png"
"","8109","image-button-response","4","null","48181","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-016.png","11","Watch","24-016.png"
"","3760","image-button-response","5","null","52448","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-012.png","9","Rabbit","104-012.png"
"","2481","image-button-response","6","null","55436","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-011.png","5","Chair","90-011.png"
"","2904","image-button-response","7","null","58842","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-005.png","2","Bird","4-005.png"
"","2272","image-button-response","8","null","61622","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-015.png","8","House","24-015.png"
"","3097","image-button-response","9","null","65221","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-006.png","1","Bicycle","105-006.png"
"","6857","image-button-response","10","null","72586","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-016.png","2","Bird","34-016.png"
"","13939","image-button-response","11","null","87027","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-011.png","4","Cat","24-011.png"
"","9171","image-button-response","12","null","96700","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-007.png","7","Hat","4-007.png"
"","2839","image-button-response","13","null","100040","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-015.png","10","Tree","3-015.png"
"","3570","image-button-response","14","null","104115","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-015.png","3","Car","34-015.png"
"","12175","image-button-response","15","null","116792","685c6ca90f751d3aae6b1794","685c6e1e9da6ca754a4da032","672725b2b7c4533a62aabc07","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-009.png","8","House","66-009.png"
