"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":362713},{""page_index"":1,""viewing_time"":7648},{""page_index"":2,""viewing_time"":9304},{""page_index"":3,""viewing_time"":10424}]","390089","instructions","0","null","390138","685c6ca90f751d3aae6b1794","685c6e1a7ba6934115fb8394","67363452674f3db8059e7888","","","","","","",""
"","2420","image-button-response","1","null","393562","685c6ca90f751d3aae6b1794","685c6e1a7ba6934115fb8394","67363452674f3db8059e7888","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1255","image-button-response","2","null","395322","685c6ca90f751d3aae6b1794","685c6e1a7ba6934115fb8394","67363452674f3db8059e7888","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","10508","image-button-response","3","null","406338","685c6ca90f751d3aae6b1794","685c6e1a7ba6934115fb8394","67363452674f3db8059e7888","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-010.png","5","Chair","94-010.png"
"","4878","image-button-response","4","null","411730","685c6ca90f751d3aae6b1794","685c6e1a7ba6934115fb8394","67363452674f3db8059e7888","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-008.png","7","Hat","96-008.png"
"","4381","image-button-response","5","null","416629","685c6ca90f751d3aae6b1794","685c6e1a7ba6934115fb8394","67363452674f3db8059e7888","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-011.png","6","Cup","6-011.png"
"","9778","image-button-response","6","null","426908","685c6ca90f751d3aae6b1794","685c6e1a7ba6934115fb8394","67363452674f3db8059e7888","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-011.png","6","Cup","27-011.png"
"","6888","image-button-response","7","null","434300","685c6ca90f751d3aae6b1794","685c6e1a7ba6934115fb8394","67363452674f3db8059e7888","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-008.png","0","Airplane","106-008.png"
"","8293","image-button-response","8","null","443100","685c6ca90f751d3aae6b1794","685c6e1a7ba6934115fb8394","67363452674f3db8059e7888","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-008.png","4","Cat","110-008.png"
"","3585","image-button-response","9","null","447188","685c6ca90f751d3aae6b1794","685c6e1a7ba6934115fb8394","67363452674f3db8059e7888","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-016.png","2","Bird","67-016.png"
