"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":20114},{""page_index"":1,""viewing_time"":2433},{""page_index"":2,""viewing_time"":2333},{""page_index"":3,""viewing_time"":4550}]","29430","instructions","0","null","29443","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","","","","","","",""
"","2593","image-button-response","1","null","33043","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1229","image-button-response","2","null","34775","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","31698","image-button-response","3","null","66976","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-014.png","1","Bicycle","20-014.png"
"","13513","image-button-response","4","null","80992","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-012.png","4","Cat","102-012.png"
"","9147","image-button-response","5","null","90642","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-011.png","7","Hat","22-011.png"
"","4298","image-button-response","6","null","95443","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-010.png","5","Chair","102-010.png"
"","4214","image-button-response","7","null","100159","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-010.png","2","Bird","20-010.png"
"","7131","image-button-response","8","null","107793","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-009.png","0","Airplane","62-009.png"
"","3413","image-button-response","9","null","111710","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-014.png","8","House","62-014.png"
"","4696","image-button-response","10","null","116910","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-007.png","1","Bicycle","22-007.png"
"","1997","image-button-response","11","null","119409","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-006.png","10","Tree","56-006.png"
"","1664","image-button-response","12","null","121576","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-015.png","1","Bicycle","102-015.png"
"","3514","image-button-response","13","null","125592","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-010.png","2","Bird","62-010.png"
"","2580","image-button-response","14","null","128676","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-007.png","3","Car","62-007.png"
"","6565","image-button-response","15","null","135743","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-015.png","6","Cup","56-015.png"
"","2165","image-button-response","16","null","138410","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-011.png","3","Car","102-011.png"
"","2947","image-button-response","17","null","141859","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-016.png","10","Tree","62-016.png"
"","1448","image-button-response","18","null","143810","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-012.png","11","Watch","85-012.png"
"","1464","image-button-response","19","null","145776","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-010.png","4","Cat","85-010.png"
"","3131","image-button-response","20","null","149409","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-011.png","6","Cup","56-011.png"
"","1697","image-button-response","21","null","151610","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-011.png","4","Cat","62-011.png"
"","1664","image-button-response","22","null","153776","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-006.png","5","Chair","22-006.png"
"","1598","image-button-response","23","null","155877","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-014.png","10","Tree","22-014.png"
"","8080","image-button-response","24","null","164460","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-014.png","7","Hat","56-014.png"
"","3098","image-button-response","25","null","168060","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-010.png","5","Chair","56-010.png"
"","2748","image-button-response","26","null","171310","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-013.png","5","Chair","62-013.png"
"","1481","image-button-response","27","null","173293","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-011.png","10","Tree","85-011.png"
"","2265","image-button-response","28","null","176060","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-016.png","8","House","85-016.png"
"","3014","image-button-response","29","null","179577","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-005.png","3","Car","85-005.png"
"","2613","image-button-response","30","null","182693","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-005.png","11","Watch","62-005.png"
"","6181","image-button-response","31","null","189376","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-013.png","8","House","22-013.png"
"","6298","image-button-response","32","null","196177","685c6ca90f751d3aae6b1794","685c6d9979f0161f30215d4c","67411aa0172afbb200bd2c59","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-007.png","3","Car","56-007.png"
