"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":4227},{""page_index"":1,""viewing_time"":4144},{""page_index"":2,""viewing_time"":3181},{""page_index"":3,""viewing_time"":2307}]","13859","instructions","0","null","13867","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","","","","","","",""
"","3084","image-button-response","1","null","17959","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1154","image-button-response","2","null","19630","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","12470","image-button-response","3","null","32603","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-007.png","4","Cat","24-007.png"
"","6765","image-button-response","4","null","39871","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-010.png","9","Rabbit","4-010.png"
"","6916","image-button-response","5","null","47289","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-005.png","11","Watch","90-005.png"
"","5842","image-button-response","6","null","53639","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-007.png","2","Bird","105-007.png"
"","8859","image-button-response","7","null","63000","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-006.png","3","Car","91-006.png"
"","3449","image-button-response","8","null","66956","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-015.png","6","Cup","66-015.png"
"","2834","image-button-response","9","null","70292","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-013.png","10","Tree","105-013.png"
"","1619","image-button-response","10","null","72414","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-010.png","9","Rabbit","59-010.png"
"","1685","image-button-response","11","null","74603","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-009.png","8","House","65-009.png"
"","3221","image-button-response","12","null","78335","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-008.png","7","Hat","4-008.png"
"","5792","image-button-response","13","null","84630","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-012.png","1","Bicycle","59-012.png"
"","2255","image-button-response","14","null","87398","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-016.png","8","House","90-016.png"
"","11254","image-button-response","15","null","99160","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-012.png","3","Car","66-012.png"
"","7294","image-button-response","16","null","106964","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-012.png","7","Hat","58-012.png"
"","12604","image-button-response","17","null","120080","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-011.png","4","Cat","90-011.png"
"","5478","image-button-response","18","null","126064","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-010.png","11","Watch","65-010.png"
"","2531","image-button-response","19","null","129097","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-013.png","10","Tree","24-013.png"
"","1687","image-button-response","20","null","131294","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-009.png","0","Airplane","105-009.png"
"","9587","image-button-response","21","null","141392","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-006.png","6","Cup","65-006.png"
"","2244","image-button-response","22","null","144140","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-005.png","11","Watch","104-005.png"
"","12786","image-button-response","23","null","157441","685c6ca90f751d3aae6b1794","685c6e18d22238249328db0c","675597aa8edbd645627043a1","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-014.png","10","Tree","4-014.png"
