"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":53418},{""page_index"":1,""viewing_time"":8279},{""page_index"":2,""viewing_time"":6664},{""page_index"":3,""viewing_time"":1600}]","69961","instructions","0","null","69984","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","","","","","","",""
"","3106","image-button-response","1","null","74104","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1678","image-button-response","2","null","76287","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","7869","image-button-response","3","null","84663","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-009.png","4","Cat","54-009.png"
"","18164","image-button-response","4","null","103335","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-013.png","3","Car","112-013.png"
"","8162","image-button-response","5","null","112015","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-013.png","10","Tree","41-013.png"
"","9723","image-button-response","6","null","122247","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-008.png","10","Tree","99-008.png"
"","17484","image-button-response","7","null","140247","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-011.png","10","Tree","33-011.png"
"","8134","image-button-response","8","null","148887","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-010.png","8","House","99-010.png"
"","20697","image-button-response","9","null","170094","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-011.png","9","Rabbit","112-011.png"
"","18865","image-button-response","10","null","189478","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-012.png","10","Tree","71-012.png"
"","12941","image-button-response","11","null","202926","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-014.png","5","Chair","110-014.png"
"","15068","image-button-response","12","null","218510","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-008.png","5","Chair","31-008.png"
"","8174","image-button-response","13","null","227189","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-010.png","0","Airplane","54-010.png"
"","8294","image-button-response","14","null","235989","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-013.png","3","Car","72-013.png"
"","16277","image-button-response","15","null","252773","685c6ca90f751d3aae6b1794","685c6e113bc49b797210846c","675a2ef45fbe0cc52b8403ae","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-015.png","7","Hat","32-015.png"
