"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":10441},{""page_index"":1,""viewing_time"":4254},{""page_index"":2,""viewing_time"":6393},{""page_index"":3,""viewing_time"":6188}]","27277","instructions","0","null","27292","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","","","","","","",""
"","2968","image-button-response","1","null","31270","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1387","image-button-response","2","null","33162","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4375","image-button-response","3","null","38042","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-014.png","0","Airplane","50-014.png"
"","2457","image-button-response","4","null","41010","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-009.png","10","Tree","60-009.png"
"","2013","image-button-response","5","null","43533","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-015.png","3","Car","50-015.png"
"","1796","image-button-response","6","null","45835","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-010.png","3","Car","68-010.png"
"","7360","image-button-response","7","null","53703","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-011.png","0","Airplane","94-011.png"
"","5986","image-button-response","8","null","60193","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-007.png","9","Rabbit","67-007.png"
"","4258","image-button-response","9","null","64956","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-012.png","1","Bicycle","94-012.png"
"","11729","image-button-response","10","null","77195","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-014.png","5","Chair","6-014.png"
"","8496","image-button-response","11","null","86205","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-008.png","3","Car","26-008.png"
"","3833","image-button-response","12","null","90544","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-013.png","0","Airplane","50-013.png"
"","2576","image-button-response","13","null","93629","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-006.png","11","Watch","67-006.png"
"","2255","image-button-response","14","null","96393","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-005.png","0","Airplane","50-005.png"
"","6890","image-button-response","15","null","103785","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-008.png","7","Hat","6-008.png"
"","4701","image-button-response","16","null","108996","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-012.png","5","Chair","26-012.png"
"","4228","image-button-response","17","null","113735","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-006.png","8","House","107-006.png"
"","4942","image-button-response","18","null","119185","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-005.png","7","Hat","60-005.png"
"","7413","image-button-response","19","null","127112","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-012.png","5","Chair","68-012.png"
"","2874","image-button-response","20","null","130495","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-007.png","2","Bird","68-007.png"
"","1230","image-button-response","21","null","132241","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","2423","image-button-response","22","null","135177","685c6ca90f751d3aae6b1794","685c6e2f07589d53a0f026f4","676f05e174ced6e867ae4b4f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-006.png","5","Chair","93-006.png"
