"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":38141},{""page_index"":1,""viewing_time"":36594},{""page_index"":2,""viewing_time"":7386},{""page_index"":3,""viewing_time"":11909}]","94031","instructions","0","null","94046","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","","","","","","",""
"","3935","image-button-response","1","null","98986","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2767","image-button-response","2","null","102271","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","16462","image-button-response","3","null","119236","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-010.png","11","Watch","91-010.png"
"","54152","image-button-response","4","null","173896","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-016.png","7","Hat","66-016.png"
"","34845","image-button-response","5","null","209249","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-007.png","4","Cat","91-007.png"
"","56301","image-button-response","6","null","266053","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-008.png","4","Cat","34-008.png"
"","16386","image-button-response","7","null","282942","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-008.png","5","Chair","91-008.png"
"","5255","image-button-response","8","null","288710","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-007.png","9","Rabbit","67-007.png"
"","5735","image-button-response","9","null","294961","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-010.png","4","Cat","66-010.png"
"","66412","image-button-response","10","null","361881","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-012.png","5","Chair","34-012.png"
"","8337","image-button-response","11","null","370721","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-013.png","7","Hat","91-013.png"
"","4261","image-button-response","12","null","375489","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-014.png","8","House","91-014.png"
"","3362","image-button-response","13","null","379353","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-009.png","0","Airplane","59-009.png"
"","18535","image-button-response","14","null","398392","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-005.png","3","Car","67-005.png"
"","5318","image-button-response","15","null","404214","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-006.png","8","House","34-006.png"
"","7975","image-button-response","16","null","412702","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-009.png","0","Airplane","105-009.png"
"","63690","image-button-response","17","null","476895","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-005.png","4","Cat","91-005.png"
"","4868","image-button-response","18","null","482269","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-013.png","2","Bird","4-013.png"
"","40018","image-button-response","19","null","522790","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-016.png","10","Tree","4-016.png"
"","24398","image-button-response","20","null","547690","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-012.png","8","House","4-012.png"
"","2650","image-button-response","21","null","550853","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","6418","image-button-response","22","null","557774","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-014.png","9","Rabbit","106-014.png"
"","5024","image-button-response","23","null","563302","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-016.png","3","Car","106-016.png"
"","21071","image-button-response","24","null","584885","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-008.png","7","Hat","4-008.png"
"","5075","image-button-response","25","null","590465","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-011.png","6","Cup","105-011.png"
"","4556","image-button-response","26","null","595535","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-009.png","11","Watch","34-009.png"
"","24297","image-button-response","27","null","620335","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-015.png","2","Bird","106-015.png"
"","10273","image-button-response","28","null","631111","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-007.png","3","Car","92-007.png"
"","4108","image-button-response","29","null","635733","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-006.png","0","Airplane","4-006.png"
"","19608","image-button-response","30","null","655851","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-005.png","6","Cup","5-005.png"
"","6047","image-button-response","31","null","662401","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-006.png","0","Airplane","92-006.png"
"","4469","image-button-response","32","null","667371","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-015.png","3","Car","34-015.png"
"","4308","image-button-response","33","null","672193","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-016.png","8","House","105-016.png"
"","20625","image-button-response","34","null","693320","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-005.png","4","Cat","4-005.png"
"","38866","image-button-response","35","null","732692","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-011.png","8","House","34-011.png"
"","3213","image-button-response","36","null","736417","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-013.png","8","House","59-013.png"
"","5782","image-button-response","37","null","742700","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-011.png","0","Airplane","91-011.png"
"","18022","image-button-response","38","null","761227","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-006.png","1","Bicycle","105-006.png"
"","16345","image-button-response","39","null","778080","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-005.png","11","Watch","105-005.png"
"","10068","image-button-response","40","null","788654","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-009.png","5","Chair","4-009.png"
"","14020","image-button-response","41","null","803176","685c6ca90f751d3aae6b1794","685c6e1d16faa2a647b25423","67727321dbba1f283636b298","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-005.png","3","Car","25-005.png"
