"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":6765},{""page_index"":1,""viewing_time"":2972},{""page_index"":2,""viewing_time"":3425},{""page_index"":3,""viewing_time"":5150}]","18311","instructions","0","null","18323","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","","","","","","",""
"","2176","image-button-response","1","null","21508","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2547","image-button-response","2","null","24558","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","8299","image-button-response","3","null","33379","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-010.png","5","Chair","56-010.png"
"","12442","image-button-response","4","null","46334","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-009.png","4","Cat","20-009.png"
"","4009","image-button-response","5","null","50855","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-011.png","4","Cat","62-011.png"
"","4475","image-button-response","6","null","55836","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-016.png","10","Tree","62-016.png"
"","2686","image-button-response","7","null","59031","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-006.png","8","House","102-006.png"
"","2111","image-button-response","8","null","61644","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-011.png","3","Car","102-011.png"
"","5231","image-button-response","9","null","67389","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-005.png","4","Cat","22-005.png"
"","8042","image-button-response","10","null","75934","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-015.png","4","Cat","20-015.png"
"","2802","image-button-response","11","null","79252","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-014.png","10","Tree","102-014.png"
"","2609","image-button-response","12","null","82374","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-010.png","9","Rabbit","85-010.png"
"","13060","image-button-response","13","null","95951","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-005.png","3","Car","85-005.png"
"","3289","image-button-response","14","null","99758","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-008.png","3","Car","62-008.png"
"","12217","image-button-response","15","null","112485","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-013.png","5","Chair","20-013.png"
"","6618","image-button-response","16","null","119616","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-013.png","2","Bird","60-013.png"
"","4270","image-button-response","17","null","124391","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-012.png","4","Cat","102-012.png"
"","4740","image-button-response","18","null","129646","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-016.png","2","Bird","22-016.png"
"","2126","image-button-response","19","null","132274","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-008.png","2","Bird","22-008.png"
"","2852","image-button-response","20","null","135635","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-007.png","3","Car","62-007.png"
"","2505","image-button-response","21","null","138647","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-014.png","10","Tree","22-014.png"
"","2348","image-button-response","22","null","141499","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-014.png","6","Cup","85-014.png"
"","1856","image-button-response","23","null","143871","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-009.png","3","Car","22-009.png"
"","4506","image-button-response","24","null","148889","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-015.png","1","Bicycle","102-015.png"
"","3187","image-button-response","25","null","152579","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-006.png","1","Bicycle","85-006.png"
"","2396","image-button-response","26","null","155491","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-016.png","8","House","85-016.png"
"","8198","image-button-response","27","null","164200","685c6ca90f751d3aae6b1794","685c6ddf55063f2dd310381c","6772f1137e8b2c6b1790e0ae","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-008.png","3","Car","20-008.png"
