"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":21582},{""page_index"":1,""viewing_time"":1480},{""page_index"":2,""viewing_time"":5284},{""page_index"":3,""viewing_time"":15053}]","43399","instructions","0","null","43406","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","","","","","","",""
"","11695","image-button-response","1","null","56108","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2428","image-button-response","2","null","59042","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3601","image-button-response","3","null","63148","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-008.png","6","Cup","65-008.png"
"","3627","image-button-response","4","null","67288","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-005.png","11","Watch","90-005.png"
"","2762","image-button-response","5","null","70559","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-009.png","5","Chair","104-009.png"
"","2817","image-button-response","6","null","73890","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-016.png","8","House","90-016.png"
"","2410","image-button-response","7","null","76810","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-015.png","2","Bird","104-015.png"
"","3432","image-button-response","8","null","80751","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-016.png","11","Watch","3-016.png"
"","2946","image-button-response","9","null","84208","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-013.png","4","Cat","104-013.png"
"","4037","image-button-response","10","null","88749","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-007.png","10","Tree","104-007.png"
"","1749","image-button-response","11","null","91015","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-009.png","8","House","65-009.png"
"","2042","image-button-response","12","null","93561","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-010.png","3","Car","58-010.png"
"","29654","image-button-response","13","null","123726","685c6ca90f751d3aae6b1794","685c6e11a4e6165a762e3261","678da017eecfeb40cd30b706","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-006.png","9","Rabbit","24-006.png"
