"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":127287},{""page_index"":1,""viewing_time"":3536},{""page_index"":2,""viewing_time"":2114},{""page_index"":3,""viewing_time"":7388}]","140324","instructions","0","null","140333","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","","","","","","",""
"","7561","image-button-response","1","null","148899","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2220","image-button-response","2","null","151620","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","27417","image-button-response","3","null","179539","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-016.png","5","Chair","52-016.png"
"","19130","image-button-response","4","null","199175","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-013.png","9","Rabbit","114-013.png"
"","8093","image-button-response","5","null","207771","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-009.png","4","Cat","43-009.png"
"","2482","image-button-response","6","null","210754","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/83-005.png","11","Watch","83-005.png"
"","16306","image-button-response","7","null","227565","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-014.png","6","Cup","17-014.png"
"","28576","image-button-response","8","null","256647","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-006.png","1","Bicycle","55-006.png"
"","69800","image-button-response","9","null","326948","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-016.png","6","Cup","16-016.png"
"","8594","image-button-response","10","null","336051","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-007.png","6","Cup","21-007.png"
"","7591","image-button-response","11","null","344149","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-010.png","4","Cat","69-010.png"
"","3375","image-button-response","12","null","348026","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-014.png","7","Hat","23-014.png"
"","4118","image-button-response","13","null","352647","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-011.png","5","Chair","96-011.png"
"","40547","image-button-response","14","null","393695","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-010.png","5","Chair","77-010.png"
"","33113","image-button-response","15","null","427322","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-011.png","4","Cat","56-011.png"
"","16203","image-button-response","16","null","444028","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-012.png","11","Watch","55-012.png"
"","12039","image-button-response","17","null","456569","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-016.png","1","Bicycle","117-016.png"
"","35832","image-button-response","18","null","492912","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-007.png","7","Hat","57-007.png"
"","3307","image-button-response","19","null","496729","685c6ca90f751d3aae6b1794","685c7e76c87a6a4df7f8cd46","67ab4cdcfdca2da7d459716a","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-014.png","11","Watch","28-014.png"
