"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":12733},{""page_index"":1,""viewing_time"":1497},{""page_index"":2,""viewing_time"":13307},{""page_index"":3,""viewing_time"":19056}]","46594","instructions","0","null","46606","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","","","","","","",""
"","9511","image-button-response","1","null","57136","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3485","image-button-response","2","null","61128","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","11140","image-button-response","3","null","72782","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-007.png","6","Cup","41-007.png"
"","18916","image-button-response","4","null","92215","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-008.png","7","Hat","30-008.png"
"","43819","image-button-response","5","null","136537","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-008.png","2","Bird","11-008.png"
"","19267","image-button-response","6","null","156316","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-012.png","5","Chair","113-012.png"
"","16259","image-button-response","7","null","173089","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-015.png","11","Watch","42-015.png"
"","13155","image-button-response","8","null","186752","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-011.png","10","Tree","33-011.png"
"","30870","image-button-response","9","null","218139","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-006.png","0","Airplane","26-006.png"
"","33697","image-button-response","10","null","252353","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-016.png","7","Hat","114-016.png"
"","118418","image-button-response","11","null","371284","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-016.png","2","Bird","112-016.png"
"","31974","image-button-response","12","null","403773","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-008.png","7","Hat","33-008.png"
"","15447","image-button-response","13","null","419745","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-015.png","6","Cup","13-015.png"
"","12599","image-button-response","14","null","432854","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-014.png","1","Bicycle","69-014.png"
"","18114","image-button-response","15","null","451477","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-010.png","2","Bird","42-010.png"
"","7662","image-button-response","16","null","459651","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-009.png","11","Watch","114-009.png"
"","12411","image-button-response","17","null","472573","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-013.png","7","Hat","12-013.png"
"","7468","image-button-response","18","null","480553","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-015.png","6","Cup","73-015.png"
"","24069","image-button-response","19","null","505137","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-009.png","5","Chair","71-009.png"
"","14275","image-button-response","20","null","519934","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-007.png","2","Bird","52-007.png"
"","6709","image-button-response","21","null","527151","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-014.png","0","Airplane","108-014.png"
"","7013","image-button-response","22","null","534671","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-008.png","1","Bicycle","7-008.png"
"","8909","image-button-response","23","null","544084","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-013.png","2","Bird","32-013.png"
"","41559","image-button-response","24","null","586157","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-011.png","10","Tree","42-011.png"
"","10332","image-button-response","25","null","596994","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-008.png","6","Cup","114-008.png"
"","38287","image-button-response","26","null","635792","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-010.png","1","Bicycle","33-010.png"
"","9753","image-button-response","27","null","646056","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-008.png","2","Bird","74-008.png"
"","8001","image-button-response","28","null","654571","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-012.png","5","Chair","99-012.png"
"","6448","image-button-response","29","null","661535","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-009.png","0","Airplane","63-009.png"
"","16902","image-button-response","30","null","678942","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-015.png","6","Cup","32-015.png"
"","23990","image-button-response","31","null","703435","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-012.png","11","Watch","42-012.png"
"","54322","image-button-response","32","null","758270","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-005.png","9","Rabbit","13-005.png"
"","4147","image-button-response","33","null","762924","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","8677","image-button-response","34","null","772107","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-005.png","3","Car","54-005.png"
"","12558","image-button-response","35","null","785174","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-005.png","0","Airplane","52-005.png"
"","37515","image-button-response","36","null","823205","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-012.png","8","House","74-012.png"
"","6872","image-button-response","37","null","830587","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-014.png","0","Airplane","96-014.png"
"","8060","image-button-response","38","null","839165","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-007.png","8","House","114-007.png"
"","11877","image-button-response","39","null","851555","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-013.png","11","Watch","74-013.png"
"","19797","image-button-response","40","null","871858","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-007.png","11","Watch","13-007.png"
"","28337","image-button-response","41","null","900704","685c6ca90f751d3aae6b1794","685c6e1edc36e92df6e5e798","67cb4f07e42b150f96dc180b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-012.png","5","Chair","12-012.png"
