"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":8944},{""page_index"":1,""viewing_time"":4330},{""page_index"":2,""viewing_time"":5790},{""page_index"":3,""viewing_time"":7962}]","27025","instructions","0","null","27041","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","","","","","","",""
"","4204","image-button-response","1","null","32254","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2395","image-button-response","2","null","35160","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","30014","image-button-response","3","null","65677","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-012.png","8","House","23-012.png"
"","14348","image-button-response","4","null","80531","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-012.png","3","Car","2-012.png"
"","5984","image-button-response","5","null","87033","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-014.png","0","Airplane","89-014.png"
"","6647","image-button-response","6","null","94197","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-016.png","0","Airplane","64-016.png"
"","14907","image-button-response","7","null","109609","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-013.png","9","Rabbit","25-013.png"
"","23735","image-button-response","8","null","133849","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-011.png","7","Hat","106-011.png"
"","9621","image-button-response","9","null","143975","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-015.png","4","Cat","65-015.png"
"","9141","image-button-response","10","null","153625","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-011.png","1","Bicycle","57-011.png"
"","8017","image-button-response","11","null","162151","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-014.png","10","Tree","93-014.png"
"","23340","image-button-response","12","null","185995","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-005.png","9","Rabbit","107-005.png"
"","19195","image-button-response","13","null","205707","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-016.png","8","House","23-016.png"
"","25845","image-button-response","14","null","232061","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-015.png","5","Chair","59-015.png"
"","6779","image-button-response","15","null","239343","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-012.png","0","Airplane","89-012.png"
"","11366","image-button-response","16","null","251211","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-008.png","4","Cat","50-008.png"
"","10301","image-button-response","17","null","262015","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-015.png","6","Cup","91-015.png"
"","6231","image-button-response","18","null","268748","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-012.png","2","Bird","57-012.png"
"","8902","image-button-response","19","null","278157","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-014.png","5","Chair","105-014.png"
"","24196","image-button-response","20","null","302857","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-010.png","7","Hat","23-010.png"
"","68859","image-button-response","21","null","372233","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-007.png","5","Chair","59-007.png"
"","8630","image-button-response","22","null","381375","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-016.png","7","Hat","59-016.png"
"","59566","image-button-response","23","null","441447","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-014.png","1","Bicycle","51-014.png"
"","11355","image-button-response","24","null","453311","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-009.png","8","House","67-009.png"
"","12786","image-button-response","25","null","466601","685c6ca90f751d3aae6b1794","685c6dcc693eb7b1d759d017","67cb6ffcdfb183f140c5439c","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
