"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":100653},{""page_index"":1,""viewing_time"":6418},{""page_index"":2,""viewing_time"":9948},{""page_index"":3,""viewing_time"":26563}]","143582","instructions","0","null","143602","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","","","","","","",""
"","7371","image-button-response","1","null","151989","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","4569","image-button-response","2","null","157076","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","18269","image-button-response","3","null","175860","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-007.png","3","Car","26-007.png"
"","7473","image-button-response","4","null","183845","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-009.png","1","Bicycle","106-009.png"
"","9086","image-button-response","5","null","193445","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-014.png","10","Tree","73-014.png"
"","16031","image-button-response","6","null","209994","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-013.png","0","Airplane","2-013.png"
"","6164","image-button-response","7","null","216665","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-013.png","10","Tree","41-013.png"
"","4802","image-button-response","8","null","221976","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-008.png","10","Tree","99-008.png"
"","6062","image-button-response","9","null","228556","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-013.png","6","Cup","54-013.png"
"","8555","image-button-response","10","null","237617","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-013.png","3","Car","108-013.png"
"","20883","image-button-response","11","null","259013","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-012.png","7","Hat","98-012.png"
"","12196","image-button-response","12","null","271721","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-012.png","4","Cat","41-012.png"
"","10401","image-button-response","13","null","282631","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-013.png","5","Chair","70-013.png"
"","18556","image-button-response","14","null","301697","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-007.png","10","Tree","8-007.png"
"","19263","image-button-response","15","null","321473","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-006.png","10","Tree","11-006.png"
"","6577","image-button-response","16","null","328564","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-011.png","4","Cat","95-011.png"
"","68617","image-button-response","17","null","397690","685c6ca90f751d3aae6b1794","685c6de4fc923181d94d6ea2","67dbcd7722043bf1d1671b92","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-012.png","10","Tree","112-012.png"
