"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":675740},{""page_index"":1,""viewing_time"":636},{""page_index"":2,""viewing_time"":919},{""page_index"":3,""viewing_time"":983}]","678278","instructions","0","null","678298","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","","","","","","",""
"","3180","image-button-response","1","null","682492","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2106","image-button-response","2","null","685117","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","16774","image-button-response","3","null","702408","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-006.png","4","Cat","14-006.png"
"","87738","image-button-response","4","null","790656","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-013.png","10","Tree","11-013.png"
"","27161","image-button-response","5","null","818332","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-005.png","1","Bicycle","26-005.png"
"","10080","image-button-response","6","null","828919","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-016.png","9","Rabbit","32-016.png"
"","8212","image-button-response","7","null","837644","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-010.png","3","Car","22-010.png"
"","748","image-button-response","8","null","838897","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-014.png","9","Rabbit","14-014.png"
"","20851","image-button-response","9","null","860269","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-009.png","9","Rabbit","43-009.png"
"","9940","image-button-response","10","null","870712","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-015.png","9","Rabbit","84-015.png"
"","13489","image-button-response","11","null","884718","685c6ca90f751d3aae6b1794","685c70c17ca976132efd646a","67ddf0d78b09b4dce35030d9","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-006.png","5","Chair","36-006.png"
