"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":68685},{""page_index"":1,""viewing_time"":4024},{""page_index"":2,""viewing_time"":252859},{""page_index"":3,""viewing_time"":10680}]","336249","instructions","0","null","336290","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","","","","","","",""
"","4444","image-button-response","1","null","341762","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3169","image-button-response","2","null","345443","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","22648","image-button-response","3","null","368612","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-011.png","0","Airplane","77-011.png"
"","9149","image-button-response","4","null","378280","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-010.png","6","Cup","37-010.png"
"","26699","image-button-response","5","null","405496","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-013.png","7","Hat","16-013.png"
"","23362","image-button-response","6","null","429369","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-009.png","7","Hat","16-009.png"
"","6789","image-button-response","7","null","436670","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-013.png","6","Cup","46-013.png"
"","22792","image-button-response","8","null","459979","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/45-005.png","3","Car","45-005.png"
"","6376","image-button-response","9","null","466866","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-012.png","10","Tree","117-012.png"
"","27366","image-button-response","10","null","494741","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-013.png","2","Bird","77-013.png"
"","15399","image-button-response","11","null","510656","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-015.png","9","Rabbit","84-015.png"
"","7222","image-button-response","12","null","518388","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-013.png","0","Airplane","82-013.png"
"","6895","image-button-response","13","null","525790","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-005.png","11","Watch","37-005.png"
"","7426","image-button-response","14","null","533734","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-012.png","8","House","78-012.png"
"","24925","image-button-response","15","null","559161","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-011.png","11","Watch","37-011.png"
"","14094","image-button-response","16","null","573771","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-015.png","3","Car","77-015.png"
"","11308","image-button-response","17","null","585585","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-005.png","0","Airplane","43-005.png"
"","17790","image-button-response","18","null","603893","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-011.png","0","Airplane","117-011.png"
"","21861","image-button-response","19","null","626272","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-005.png","1","Bicycle","116-005.png"
"","194326","image-button-response","20","null","821103","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-005.png","0","Airplane","115-005.png"
"","10774","image-button-response","21","null","832383","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-014.png","2","Bird","46-014.png"
"","8129","image-button-response","22","null","841030","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-010.png","10","Tree","17-010.png"
"","8926","image-button-response","23","null","850460","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-016.png","0","Airplane","36-016.png"
"","37282","image-button-response","24","null","888246","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-007.png","3","Car","43-007.png"
"","13374","image-button-response","25","null","902126","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-012.png","7","Hat","15-012.png"
"","7527","image-button-response","26","null","910156","685c6ca90f751d3aae6b1794","685c6e5d76e595ab03ec0762","67e944da95c1ca7712027013","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-008.png","3","Car","117-008.png"
