"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":16433},{""page_index"":1,""viewing_time"":7327},{""page_index"":2,""viewing_time"":13053},{""page_index"":3,""viewing_time"":20928}]","57742","instructions","0","null","57748","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","","","","","","",""
"","8575","image-button-response","1","null","67338","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","5876","image-button-response","2","null","73724","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","41912","image-button-response","3","null","116151","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-006.png","6","Cup","5-006.png"
"","4120","image-button-response","4","null","120787","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-009.png","10","Tree","60-009.png"
"","2594","image-button-response","5","null","123883","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-011.png","7","Hat","92-011.png"
"","24375","image-button-response","6","null","148776","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-011.png","0","Airplane","25-011.png"
"","8383","image-button-response","7","null","157674","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-016.png","3","Car","106-016.png"
"","3566","image-button-response","8","null","161742","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-012.png","6","Cup","5-012.png"
"","3475","image-button-response","9","null","165727","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-014.png","2","Bird","60-014.png"
"","4337","image-button-response","10","null","170565","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-008.png","0","Airplane","106-008.png"
"","9016","image-button-response","11","null","180094","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-011.png","9","Rabbit","5-011.png"
"","5789","image-button-response","12","null","186395","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-015.png","10","Tree","92-015.png"
"","24589","image-button-response","13","null","211496","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-008.png","9","Rabbit","25-008.png"
"","9905","image-button-response","14","null","221912","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-007.png","8","House","5-007.png"
"","2947","image-button-response","15","null","225365","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-012.png","7","Hat","67-012.png"
"","1346","image-button-response","16","null","227226","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","2154","image-button-response","17","null","229894","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-012.png","10","Tree","106-012.png"
"","6117","image-button-response","18","null","236512","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-015.png","2","Bird","5-015.png"
"","4554","image-button-response","19","null","241576","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-016.png","0","Airplane","60-016.png"
"","1193","image-button-response","20","null","243280","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-014.png","0","Airplane","67-014.png"
"","2801","image-button-response","21","null","246587","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-015.png","1","Bicycle","67-015.png"
"","10419","image-button-response","22","null","257514","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-005.png","4","Cat","5-005.png"
"","2404","image-button-response","23","null","260425","685c6ca90f751d3aae6b1794","685c6e203696054c44d0a6af","67ec9fc858f4594fd069d5ff","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-009.png","1","Bicycle","106-009.png"
