"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":194856},{""page_index"":1,""viewing_time"":20189},{""page_index"":2,""viewing_time"":6411},{""page_index"":3,""viewing_time"":13142}]","234599","instructions","0","null","234670","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","","","","","","",""
"","10568","image-button-response","1","null","246278","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","28620","image-button-response","2","null","275438","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","22226","image-button-response","3","null","298176","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-009.png","7","Hat","53-009.png"
"","6890","image-button-response","4","null","305586","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-007.png","6","Cup","60-007.png"
"","12216","image-button-response","5","null","318312","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-014.png","3","Car","76-014.png"
"","9153","image-button-response","6","null","327989","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-009.png","0","Airplane","96-009.png"
"","66271","image-button-response","7","null","394775","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-006.png","11","Watch","6-006.png"
"","4150","image-button-response","8","null","399439","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","12478","image-button-response","9","null","412435","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-008.png","0","Airplane","22-008.png"
"","17675","image-button-response","10","null","430627","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-014.png","1","Bicycle","69-014.png"
"","10242","image-button-response","11","null","441383","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-013.png","10","Tree","105-013.png"
"","8200","image-button-response","12","null","450106","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-015.png","6","Cup","22-015.png"
"","29793","image-button-response","13","null","480406","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-008.png","5","Chair","9-008.png"
"","20500","image-button-response","14","null","501416","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-009.png","3","Car","35-009.png"
"","17104","image-button-response","15","null","519049","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-014.png","8","House","50-014.png"
"","10729","image-button-response","16","null","530291","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-012.png","3","Car","90-012.png"
"","8506","image-button-response","17","null","539309","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-011.png","4","Cat","62-011.png"
"","14972","image-button-response","18","null","554792","685c6ca90f751d3aae6b1794","685c7181b8431c38078c9b31","67f020ded233a50f479c4c87","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-016.png","10","Tree","72-016.png"
