"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":114068},{""page_index"":1,""viewing_time"":15698},{""page_index"":2,""viewing_time"":27663},{""page_index"":3,""viewing_time"":29446}]","186876","instructions","0","null","186891","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","","","","","","",""
"","13446","image-button-response","1","null","201351","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3439","image-button-response","2","null","205297","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","8826","image-button-response","3","null","214632","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-005.png","3","Car","81-005.png"
"","10452","image-button-response","4","null","225593","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-006.png","7","Hat","81-006.png"
"","13224","image-button-response","5","null","239329","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-006.png","10","Tree","36-006.png"
"","18118","image-button-response","6","null","257954","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-005.png","9","Rabbit","76-005.png"
"","5609","image-button-response","7","null","264070","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-010.png","8","House","36-010.png"
"","11100","image-button-response","8","null","275678","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-007.png","2","Bird","55-007.png"
"","9203","image-button-response","9","null","285391","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-008.png","6","Cup","81-008.png"
"","35662","image-button-response","10","null","321565","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-013.png","0","Airplane","35-013.png"
"","10370","image-button-response","11","null","332445","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-014.png","9","Rabbit","115-014.png"
"","7162","image-button-response","12","null","340115","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-014.png","0","Airplane","110-014.png"
"","22330","image-button-response","13","null","362960","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-013.png","7","Hat","33-013.png"
"","14377","image-button-response","14","null","377856","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-007.png","9","Rabbit","31-007.png"
"","13677","image-button-response","15","null","392036","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-006.png","8","House","30-006.png"
"","5092","image-button-response","16","null","397637","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-012.png","6","Cup","75-012.png"
"","3696","image-button-response","17","null","401840","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-010.png","11","Watch","81-010.png"
"","18700","image-button-response","18","null","421049","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-016.png","3","Car","74-016.png"
"","10363","image-button-response","19","null","431929","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-009.png","0","Airplane","96-009.png"
"","25962","image-button-response","20","null","458402","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-014.png","2","Bird","99-014.png"
"","11060","image-button-response","21","null","469970","685c6ca90f751d3aae6b1794","685c6e221421014d66fada40","6830db5d80b8e76c37a9e53d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-009.png","0","Airplane","53-009.png"
