"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":53321},{""page_index"":1,""viewing_time"":14681},{""page_index"":2,""viewing_time"":42054},{""page_index"":3,""viewing_time"":2994}]","113051","instructions","0","null","113091","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","","","","","","",""
"","19700","image-button-response","1","null","133813","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2960","image-button-response","2","null","137286","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","10537","image-button-response","3","null","148328","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-014.png","8","House","26-014.png"
"","10625","image-button-response","4","null","159465","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-007.png","8","House","75-007.png"
"","40920","image-button-response","5","null","200902","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-015.png","5","Chair","5-015.png"
"","37729","image-button-response","6","null","239151","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-009.png","3","Car","63-009.png"
"","11830","image-button-response","7","null","251484","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-011.png","1","Bicycle","57-011.png"
"","13241","image-button-response","8","null","265244","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-009.png","11","Watch","102-009.png"
"","44096","image-button-response","9","null","309844","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-010.png","1","Bicycle","10-010.png"
"","22743","image-button-response","10","null","333093","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-015.png","10","Tree","92-015.png"
"","38077","image-button-response","11","null","371687","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-005.png","9","Rabbit","13-005.png"
"","13380","image-button-response","12","null","385573","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-009.png","1","Bicycle","70-009.png"
"","13387","image-button-response","13","null","399479","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-014.png","6","Cup","33-014.png"
"","19703","image-button-response","14","null","419686","685c6ca90f751d3aae6b1794","685c74292245468a3117f674","6836501c541a1a00d08566ea","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-007.png","8","House","49-007.png"
