"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":12136},{""page_index"":1,""viewing_time"":4063},{""page_index"":2,""viewing_time"":9140},{""page_index"":3,""viewing_time"":10126}]","35465","instructions","0","null","35479","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","","","","","","",""
"","13503","image-button-response","1","null","49994","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2438","image-button-response","2","null","52947","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","18297","image-button-response","3","null","71759","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-013.png","8","House","33-013.png"
"","5578","image-button-response","4","null","77854","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-005.png","11","Watch","88-005.png"
"","5445","image-button-response","5","null","83813","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-005.png","0","Airplane","50-005.png"
"","21548","image-button-response","6","null","105870","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-008.png","9","Rabbit","25-008.png"
"","6765","image-button-response","7","null","113150","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-009.png","4","Cat","73-009.png"
"","5969","image-button-response","8","null","119636","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-013.png","5","Chair","119-013.png"
"","7156","image-button-response","9","null","127306","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-011.png","3","Car","18-011.png"
"","6469","image-button-response","10","null","134291","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-016.png","4","Cat","54-016.png"
"","4672","image-button-response","11","null","139478","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-013.png","10","Tree","1-013.png"
"","5516","image-button-response","12","null","145510","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-006.png","6","Cup","68-006.png"
"","4109","image-button-response","13","null","150134","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-005.png","7","Hat","51-005.png"
"","3625","image-button-response","14","null","154275","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-012.png","8","House","7-012.png"
"","2042","image-button-response","15","null","156826","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-015.png","6","Cup","40-015.png"
"","6150","image-button-response","16","null","163478","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-016.png","6","Cup","24-016.png"
"","4749","image-button-response","17","null","168743","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-012.png","3","Car","114-012.png"
"","4469","image-button-response","18","null","173728","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-006.png","7","Hat","43-006.png"
"","4360","image-button-response","19","null","178603","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-012.png","8","House","82-012.png"
"","6297","image-button-response","20","null","185416","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-006.png","10","Tree","36-006.png"
"","6828","image-button-response","21","null","192759","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-014.png","10","Tree","71-014.png"
"","7405","image-button-response","22","null","200666","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-010.png","0","Airplane","20-010.png"
"","5642","image-button-response","23","null","206822","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-011.png","2","Bird","108-011.png"
"","7313","image-button-response","24","null","214650","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-016.png","10","Tree","4-016.png"
"","5391","image-button-response","25","null","220557","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-009.png","7","Hat","90-009.png"
"","5109","image-button-response","26","null","226181","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-008.png","5","Chair","98-008.png"
"","6062","image-button-response","27","null","232759","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-009.png","0","Airplane","96-009.png"
"","6531","image-button-response","28","null","239806","685c6ca90f751d3aae6b1794","685c711755063f2dd310394e","68373cce499c73350b5613b4","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-009.png","9","Rabbit","37-009.png"
