"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":783885},{""page_index"":1,""viewing_time"":1304},{""page_index"":2,""viewing_time"":7099},{""page_index"":3,""viewing_time"":1845}]","794134","instructions","0","null","794198","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","","","","","","",""
"","3680","image-button-response","1","null","798896","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2023","image-button-response","2","null","801430","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","7567","image-button-response","3","null","809513","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-008.png","6","Cup","77-008.png"
"","6377","image-button-response","4","null","816407","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-008.png","6","Cup","116-008.png"
"","5810","image-button-response","5","null","822728","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/45-011.png","4","Cat","45-011.png"
"","9987","image-button-response","6","null","833231","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-007.png","10","Tree","76-007.png"
"","7650","image-button-response","7","null","841389","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-010.png","0","Airplane","75-010.png"
"","8798","image-button-response","8","null","850694","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-009.png","4","Cat","77-009.png"
"","9035","image-button-response","9","null","860246","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-014.png","6","Cup","16-014.png"
"","5318","image-button-response","10","null","866079","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-016.png","6","Cup","82-016.png"
"","3939","image-button-response","11","null","870528","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-012.png","4","Cat","116-012.png"
"","7375","image-button-response","12","null","878412","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-006.png","11","Watch","44-006.png"
"","6432","image-button-response","13","null","885363","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-015.png","4","Cat","37-015.png"
"","4540","image-button-response","14","null","890413","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-005.png","11","Watch","37-005.png"
"","9186","image-button-response","15","null","900112","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-008.png","1","Bicycle","115-008.png"
"","9833","image-button-response","16","null","910458","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-013.png","11","Watch","14-013.png"
"","7746","image-button-response","17","null","918712","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-013.png","1","Bicycle","36-013.png"
"","7357","image-button-response","18","null","926580","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-012.png","10","Tree","117-012.png"
"","7558","image-button-response","19","null","934646","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-011.png","11","Watch","14-011.png"
"","8340","image-button-response","20","null","943495","685c6ca90f751d3aae6b1794","685c6e45bee7a203a215a06b","6837453fc6c44bcd2835e557","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-010.png","10","Tree","116-010.png"
