"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":11196},{""page_index"":1,""viewing_time"":6250},{""page_index"":2,""viewing_time"":71297},{""page_index"":3,""viewing_time"":21521}]","110265","instructions","0","null","110281","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","","","","","","",""
"","4877","image-button-response","1","null","116172","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3222","image-button-response","2","null","119902","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","17100","image-button-response","3","null","137506","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-008.png","4","Cat","42-008.png"
"","8782","image-button-response","4","null","146794","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-005.png","4","Cat","100-005.png"
"","10287","image-button-response","5","null","157584","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-012.png","8","House","74-012.png"
"","10785","image-button-response","6","null","168884","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-008.png","6","Cup","33-008.png"
"","29312","image-button-response","7","null","198698","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-009.png","10","Tree","53-009.png"
"","8074","image-button-response","8","null","207282","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-010.png","5","Chair","33-010.png"
"","6230","image-button-response","9","null","214013","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-009.png","5","Chair","100-009.png"
"","4157","image-button-response","10","null","218678","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-014.png","0","Airplane","110-014.png"
"","3469","image-button-response","11","null","222663","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-011.png","10","Tree","11-011.png"
"","2619","image-button-response","12","null","225795","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-009.png","11","Watch","114-009.png"
"","10205","image-button-response","13","null","236501","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-012.png","11","Watch","13-012.png"
"","6887","image-button-response","14","null","243896","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-016.png","2","Bird","113-016.png"
"","3828","image-button-response","15","null","248236","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-008.png","6","Cup","100-008.png"
"","2454","image-button-response","16","null","251191","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-007.png","8","House","114-007.png"
"","7900","image-button-response","17","null","259594","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-006.png","1","Bicycle","97-006.png"
"","7945","image-button-response","18","null","268043","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-012.png","10","Tree","11-012.png"
"","6492","image-button-response","19","null","275041","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-007.png","10","Tree","55-007.png"
"","5190","image-button-response","20","null","280734","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-014.png","5","Chair","13-014.png"
"","2634","image-button-response","21","null","283877","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-010.png","10","Tree","74-010.png"
"","4003","image-button-response","22","null","288395","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-015.png","10","Tree","99-015.png"
"","8911","image-button-response","23","null","297819","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-009.png","4","Cat","74-009.png"
"","4817","image-button-response","24","null","303151","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-013.png","8","House","42-013.png"
"","6409","image-button-response","25","null","310069","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-007.png","7","Hat","100-007.png"
"","1540","image-button-response","26","null","312123","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","5504","image-button-response","27","null","318129","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-006.png","8","House","100-006.png"
"","3606","image-button-response","28","null","322244","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-012.png","8","House","73-012.png"
"","3776","image-button-response","29","null","326531","685c6ca90f751d3aae6b1794","685c6e2932bada9c2c0b6fc9","6838555002ab10144a4ff163","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-007.png","10","Tree","13-007.png"
