"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":5215},{""page_index"":1,""viewing_time"":3472},{""page_index"":2,""viewing_time"":1950},{""page_index"":3,""viewing_time"":1062}]","11700","instructions","0","null","11735","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","","","","","","",""
"","2436","image-button-response","1","null","15188","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1674","image-button-response","2","null","17378","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","12767","image-button-response","3","null","30655","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-010.png","8","House","115-010.png"
"","10203","image-button-response","4","null","41374","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-010.png","6","Cup","101-010.png"
"","10456","image-button-response","5","null","52347","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-008.png","7","Hat","84-008.png"
"","12443","image-button-response","6","null","65297","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-016.png","5","Chair","21-016.png"
"","7832","image-button-response","7","null","73643","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-006.png","4","Cat","101-006.png"
"","7004","image-button-response","8","null","81160","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-013.png","0","Airplane","86-013.png"
"","8531","image-button-response","9","null","90201","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-009.png","5","Chair","25-009.png"
"","8392","image-button-response","10","null","99111","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-011.png","6","Cup","56-011.png"
"","18117","image-button-response","11","null","117743","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-006.png","11","Watch","48-006.png"
"","7816","image-button-response","12","null","126065","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-011.png","4","Cat","101-011.png"
"","6837","image-button-response","13","null","133416","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-013.png","2","Bird","109-013.png"
"","5688","image-button-response","14","null","139623","685c6ca90f751d3aae6b1794","685c6e6a97507637a4667a84","6838fb79d1a854d33c6a9cb2","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-015.png","9","Rabbit","1-015.png"
