"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":56713},{""page_index"":1,""viewing_time"":35787},{""page_index"":2,""viewing_time"":22381},{""page_index"":3,""viewing_time"":80405}]","195287","instructions","0","null","195321","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","","","","","","",""
"","16305","image-button-response","1","null","212651","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","4471","image-button-response","2","null","217629","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","60731","image-button-response","3","null","278872","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-014.png","2","Bird","55-014.png"
"","16700","image-button-response","4","null","296078","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-011.png","1","Bicycle","81-011.png"
"","139084","image-button-response","5","null","435674","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-013.png","0","Airplane","77-013.png"
"","55604","image-button-response","6","null","491797","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-007.png","2","Bird","16-007.png"
"","13458","image-button-response","7","null","505768","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-008.png","1","Bicycle","115-008.png"
"","17890","image-button-response","8","null","524167","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/45-013.png","9","Rabbit","45-013.png"
"","46836","image-button-response","9","null","571511","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-006.png","0","Airplane","18-006.png"
"","11433","image-button-response","10","null","583464","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-010.png","2","Bird","46-010.png"
"","10758","image-button-response","11","null","594735","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-007.png","2","Bird","81-007.png"
"","9957","image-button-response","12","null","605204","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-005.png","0","Airplane","73-005.png"
"","64011","image-button-response","13","null","669725","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-007.png","11","Watch","120-007.png"
"","36771","image-button-response","14","null","707016","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-011.png","5","Chair","84-011.png"
"","26217","image-button-response","15","null","733750","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-009.png","8","House","9-009.png"
"","16331","image-button-response","16","null","750597","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-007.png","6","Cup","84-007.png"
"","7306","image-button-response","17","null","758409","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-014.png","6","Cup","17-014.png"
"","11758","image-button-response","18","null","770678","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-010.png","2","Bird","47-010.png"
"","5789","image-button-response","19","null","776977","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-015.png","6","Cup","118-015.png"
"","4693","image-button-response","20","null","782182","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-015.png","3","Car","77-015.png"
"","122007","image-button-response","21","null","904702","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-011.png","8","House","86-011.png"
"","16588","image-button-response","22","null","921799","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/83-006.png","9","Rabbit","83-006.png"
"","27931","image-button-response","23","null","950242","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-005.png","8","House","39-005.png"
"","11122","image-button-response","24","null","961875","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-015.png","2","Bird","47-015.png"
"","30841","image-button-response","25","null","993234","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-016.png","8","House","79-016.png"
"","46823","image-button-response","26","null","1040575","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-009.png","4","Cat","43-009.png"
"","22343","image-button-response","27","null","1063436","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-011.png","11","Watch","17-011.png"
"","37739","image-button-response","28","null","1101683","685c6ca90f751d3aae6b1794","685c6e249c80f13482510ca3","683f262f5bff4d384c191e0e","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-005.png","10","Tree","46-005.png"
