"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":42241},{""page_index"":1,""viewing_time"":2798},{""page_index"":2,""viewing_time"":9334},{""page_index"":3,""viewing_time"":7559}]","61932","instructions","0","null","61948","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","","","","","","",""
"","4281","image-button-response","1","null","67247","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2500","image-button-response","2","null","70255","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","12721","image-button-response","3","null","83481","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-013.png","11","Watch","74-013.png"
"","58433","image-button-response","4","null","142418","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-015.png","8","House","81-015.png"
"","88925","image-button-response","5","null","231847","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-007.png","6","Cup","115-007.png"
"","13974","image-button-response","6","null","246339","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-006.png","4","Cat","97-006.png"
"","154160","image-button-response","7","null","401014","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-006.png","6","Cup","81-006.png"
"","6669","image-button-response","8","null","408193","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-012.png","8","House","74-012.png"
"","3270","image-button-response","9","null","411970","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","27645","image-button-response","10","null","440128","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-015.png","11","Watch","42-015.png"
"","5396","image-button-response","11","null","446037","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-009.png","11","Watch","114-009.png"
"","9177","image-button-response","12","null","455723","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-008.png","4","Cat","42-008.png"
"","100209","image-button-response","13","null","556436","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-012.png","0","Airplane","73-012.png"
"","12805","image-button-response","14","null","569749","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-013.png","8","House","33-013.png"
"","13553","image-button-response","15","null","583812","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-015.png","3","Car","13-015.png"
"","8563","image-button-response","16","null","592883","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-012.png","5","Chair","81-012.png"
"","6933","image-button-response","17","null","600332","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-007.png","1","Bicycle","10-007.png"
"","6719","image-button-response","18","null","607555","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-011.png","8","House","35-011.png"
"","5975","image-button-response","19","null","614033","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-006.png","0","Airplane","114-006.png"
"","8487","image-button-response","20","null","623035","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-011.png","8","House","11-011.png"
"","17293","image-button-response","21","null","640833","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-012.png","9","Rabbit","33-012.png"
"","8372","image-button-response","22","null","649708","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-008.png","5","Chair","75-008.png"
"","11110","image-button-response","23","null","661326","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-016.png","10","Tree","13-016.png"
"","29142","image-button-response","24","null","690979","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-014.png","0","Airplane","110-014.png"
"","8399","image-button-response","25","null","699885","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-009.png","0","Airplane","96-009.png"
"","5581","image-button-response","26","null","705978","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-010.png","8","House","115-010.png"
"","4239","image-button-response","27","null","710733","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-016.png","11","Watch","100-016.png"
"","10407","image-button-response","28","null","721648","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-011.png","4","Cat","100-011.png"
"","7455","image-button-response","29","null","729613","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-010.png","3","Car","12-010.png"
"","42035","image-button-response","30","null","772150","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-006.png","10","Tree","14-006.png"
"","5654","image-button-response","31","null","778312","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-005.png","10","Tree","114-005.png"
"","6422","image-button-response","32","null","785243","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-016.png","4","Cat","75-016.png"
"","5851","image-button-response","33","null","791607","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-007.png","8","House","42-007.png"
"","62545","image-button-response","34","null","854660","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-010.png","5","Chair","114-010.png"
"","10728","image-button-response","35","null","865896","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-013.png","3","Car","13-013.png"
"","5089","image-button-response","36","null","871503","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-014.png","6","Cup","42-014.png"
"","7255","image-button-response","37","null","879265","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-008.png","6","Cup","13-008.png"
"","40067","image-button-response","38","null","919840","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-011.png","3","Car","32-011.png"
"","12713","image-button-response","39","null","933068","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-014.png","6","Cup","33-014.png"
"","22917","image-button-response","40","null","956495","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-010.png","10","Tree","74-010.png"
"","4276","image-button-response","41","null","961281","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-011.png","10","Tree","42-011.png"
"","6133","image-button-response","42","null","967922","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-016.png","2","Bird","72-016.png"
"","7226","image-button-response","43","null","975659","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-010.png","1","Bicycle","112-010.png"
"","4823","image-button-response","44","null","980988","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-006.png","8","House","30-006.png"
"","3106","image-button-response","45","null","984605","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-013.png","8","House","42-013.png"
"","3331","image-button-response","46","null","988451","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-013.png","10","Tree","100-013.png"
"","6992","image-button-response","47","null","995957","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-011.png","7","Hat","74-011.png"
"","4110","image-button-response","48","null","1000571","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-010.png","3","Car","41-010.png"
"","4737","image-button-response","49","null","1005825","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-009.png","1","Bicycle","54-009.png"
"","27168","image-button-response","50","null","1033508","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-009.png","9","Rabbit","74-009.png"
"","18801","image-button-response","51","null","1052813","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-012.png","3","Car","100-012.png"
"","21714","image-button-response","52","null","1075041","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-007.png","2","Bird","55-007.png"
"","10831","image-button-response","53","null","1086385","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-012.png","8","House","13-012.png"
"","5112","image-button-response","54","null","1092011","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-008.png","6","Cup","100-008.png"
"","3967","image-button-response","55","null","1096493","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-006.png","0","Airplane","28-006.png"
"","9967","image-button-response","56","null","1106966","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-015.png","10","Tree","52-015.png"
"","5942","image-button-response","57","null","1113418","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-016.png","4","Cat","35-016.png"
"","4854","image-button-response","58","null","1118787","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-016.png","2","Bird","113-016.png"
"","4545","image-button-response","59","null","1123849","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-015.png","10","Tree","35-015.png"
"","2828","image-button-response","60","null","1127189","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-012.png","3","Car","114-012.png"
"","1423","image-button-response","61","null","1129129","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-012.png","3","Car","42-012.png"
"","3796","image-button-response","62","null","1133433","685c6ca90f751d3aae6b1794","685c6e283c1447109a46a4e4","6841d7355bb81679ac0e04df","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-008.png","0","Airplane","70-008.png"
