"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":27430},{""page_index"":1,""viewing_time"":11010},{""page_index"":2,""viewing_time"":9327},{""page_index"":3,""viewing_time"":16384}]","64152","instructions","0","null","64194","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","","","","","","",""
"","4415","image-button-response","1","null","69634","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","4676","image-button-response","2","null","74818","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","23967","image-button-response","3","null","99306","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-007.png","7","Hat","99-007.png"
"","20222","image-button-response","4","null","120049","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-015.png","11","Watch","99-015.png"
"","18699","image-button-response","5","null","139258","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-005.png","11","Watch","113-005.png"
"","29268","image-button-response","6","null","169034","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-011.png","8","House","31-011.png"
"","37164","image-button-response","7","null","206714","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-016.png","9","Rabbit","71-016.png"
"","33926","image-button-response","8","null","241162","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-014.png","10","Tree","11-014.png"
"","18617","image-button-response","9","null","260289","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-006.png","2","Bird","54-006.png"
"","17643","image-button-response","10","null","278442","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-014.png","10","Tree","73-014.png"
"","24900","image-button-response","11","null","303849","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-005.png","0","Airplane","11-005.png"
"","16741","image-button-response","12","null","321098","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-015.png","2","Bird","96-015.png"
"","15765","image-button-response","13","null","337370","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-008.png","7","Hat","113-008.png"
"","16318","image-button-response","14","null","354194","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-015.png","1","Bicycle","69-015.png"
"","19457","image-button-response","15","null","374162","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-014.png","1","Bicycle","69-014.png"
"","14351","image-button-response","16","null","389018","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-006.png","3","Car","53-006.png"
"","14990","image-button-response","17","null","404514","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-009.png","9","Rabbit","113-009.png"
"","18949","image-button-response","18","null","423970","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-011.png","8","House","73-011.png"
"","17246","image-button-response","19","null","441730","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-012.png","3","Car","111-012.png"
"","17730","image-button-response","20","null","459978","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-014.png","7","Hat","12-014.png"
"","13910","image-button-response","21","null","474394","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-006.png","1","Bicycle","26-006.png"
"","20047","image-button-response","22","null","494945","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-008.png","4","Cat","7-008.png"
"","12613","image-button-response","23","null","508066","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-016.png","10","Tree","12-016.png"
"","11511","image-button-response","24","null","520089","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-005.png","0","Airplane","50-005.png"
"","9989","image-button-response","25","null","530593","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-008.png","5","Chair","98-008.png"
"","23495","image-button-response","26","null","554594","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-007.png","2","Bird","32-007.png"
"","13255","image-button-response","27","null","568354","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-007.png","2","Bird","52-007.png"
"","8326","image-button-response","28","null","577186","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-007.png","10","Tree","29-007.png"
"","2045","image-button-response","29","null","579746","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","8451","image-button-response","30","null","588706","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-005.png","7","Hat","32-005.png"
"","14899","image-button-response","31","null","604122","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-009.png","3","Car","71-009.png"
"","14167","image-button-response","32","null","618802","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-016.png","9","Rabbit","112-016.png"
"","9347","image-button-response","33","null","628658","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-014.png","11","Watch","41-014.png"
"","14623","image-button-response","34","null","643802","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-016.png","2","Bird","73-016.png"
"","1042","image-button-response","35","null","645353","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-015.png","2","Bird","98-015.png"
"","3025","image-button-response","36","null","648882","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-008.png","3","Car","99-008.png"
"","3223","image-button-response","37","null","652610","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-014.png","9","Rabbit","108-014.png"
"","2281","image-button-response","38","null","655410","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-008.png","3","Car","32-008.png"
"","2363","image-button-response","39","null","658282","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-005.png","4","Cat","8-005.png"
"","2396","image-button-response","40","null","661186","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-007.png","10","Tree","113-007.png"
"","60775","image-button-response","41","null","722473","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-016.png","5","Chair","28-016.png"
"","25405","image-button-response","42","null","748388","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-015.png","5","Chair","12-015.png"
"","19802","image-button-response","43","null","768702","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-010.png","10","Tree","113-010.png"
"","19659","image-button-response","44","null","788874","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-011.png","0","Airplane","94-011.png"
"","20737","image-button-response","45","null","810122","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-013.png","6","Cup","113-013.png"
"","15813","image-button-response","46","null","826450","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-009.png","4","Cat","30-009.png"
"","11905","image-button-response","47","null","838866","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-010.png","8","House","99-010.png"
"","22426","image-button-response","48","null","861802","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-015.png","6","Cup","55-015.png"
"","22466","image-button-response","49","null","884786","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-008.png","2","Bird","10-008.png"
"","12131","image-button-response","50","null","897426","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-006.png","11","Watch","12-006.png"
"","14296","image-button-response","51","null","912234","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-005.png","1","Bicycle","52-005.png"
"","21210","image-button-response","52","null","933962","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-007.png","3","Car","110-007.png"
"","15526","image-button-response","53","null","950002","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-007.png","10","Tree","6-007.png"
"","14871","image-button-response","54","null","965378","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-005.png","1","Bicycle","28-005.png"
"","13634","image-button-response","55","null","979530","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-016.png","7","Hat","41-016.png"
"","18573","image-button-response","56","null","998610","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-015.png","5","Chair","72-015.png"
"","23128","image-button-response","57","null","1022257","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-010.png","6","Cup","72-010.png"
"","10960","image-button-response","58","null","1033737","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-015.png","2","Bird","97-015.png"
"","21908","image-button-response","59","null","1056154","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-013.png","8","House","73-013.png"
"","11672","image-button-response","60","null","1068338","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-014.png","3","Car","97-014.png"
"","11214","image-button-response","61","null","1080058","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-015.png","8","House","41-015.png"
"","10106","image-button-response","62","null","1090674","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-006.png","8","House","32-006.png"
"","12694","image-button-response","63","null","1103874","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-009.png","3","Car","63-009.png"
"","14955","image-button-response","64","null","1119344","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-010.png","3","Car","95-010.png"
"","16025","image-button-response","65","null","1135874","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-006.png","11","Watch","73-006.png"
"","7577","image-button-response","66","null","1143962","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-013.png","10","Tree","41-013.png"
"","15341","image-button-response","67","null","1159818","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-006.png","1","Bicycle","110-006.png"
"","15979","image-button-response","68","null","1176306","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-012.png","9","Rabbit","41-012.png"
"","11174","image-button-response","69","null","1187986","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-013.png","8","House","55-013.png"
"","14251","image-button-response","70","null","1202747","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-008.png","8","House","112-008.png"
"","14808","image-button-response","71","null","1218066","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-011.png","4","Cat","99-011.png"
"","11031","image-button-response","72","null","1229610","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-010.png","5","Chair","31-010.png"
"","14346","image-button-response","73","null","1244466","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-013.png","10","Tree","11-013.png"
"","10144","image-button-response","74","null","1255114","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-012.png","8","House","31-012.png"
"","12605","image-button-response","75","null","1268226","685c6ca90f751d3aae6b1794","685c6e1d2a8971444acd7463","684848216925240d05c84069","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-010.png","8","House","9-010.png"
