"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":33848},{""page_index"":1,""viewing_time"":6734},{""page_index"":2,""viewing_time"":7519},{""page_index"":3,""viewing_time"":3484}]","51586","instructions","0","null","51595","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","","","","","","",""
"","7658","image-button-response","1","null","60270","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3858","image-button-response","2","null","64644","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","11899","image-button-response","3","null","77056","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-009.png","2","Bird","73-009.png"
"","8299","image-button-response","4","null","85863","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-011.png","4","Cat","41-011.png"
"","17736","image-button-response","5","null","104112","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-015.png","6","Cup","32-015.png"
"","7457","image-button-response","6","null","112081","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-015.png","6","Cup","73-015.png"
"","8751","image-button-response","7","null","121341","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-012.png","5","Chair","12-012.png"
"","7382","image-button-response","8","null","129237","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-006.png","1","Bicycle","97-006.png"
"","7275","image-button-response","9","null","137020","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-014.png","11","Watch","41-014.png"
"","23092","image-button-response","10","null","160626","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-007.png","0","Airplane","97-007.png"
"","16655","image-button-response","11","null","177798","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-013.png","3","Car","112-013.png"
"","7316","image-button-response","12","null","185630","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-005.png","6","Cup","12-005.png"
"","9912","image-button-response","13","null","196052","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-012.png","5","Chair","113-012.png"
"","17769","image-button-response","14","null","214332","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-009.png","9","Rabbit","31-009.png"
"","8535","image-button-response","15","null","223379","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-013.png","8","House","73-013.png"
"","21089","image-button-response","16","null","244982","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-007.png","7","Hat","100-007.png"
"","11076","image-button-response","17","null","256567","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-006.png","9","Rabbit","114-006.png"
"","12367","image-button-response","18","null","269438","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-010.png","1","Bicycle","111-010.png"
"","12731","image-button-response","19","null","282680","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-006.png","8","House","100-006.png"
"","37252","image-button-response","20","null","320441","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-014.png","2","Bird","10-014.png"
"","23932","image-button-response","21","null","344888","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-011.png","9","Rabbit","112-011.png"
"","5727","image-button-response","22","null","351125","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-005.png","10","Tree","114-005.png"
"","4935","image-button-response","23","null","356570","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-008.png","5","Chair","31-008.png"
"","12941","image-button-response","24","null","370020","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-013.png","5","Chair","32-013.png"
"","5706","image-button-response","25","null","376239","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-013.png","10","Tree","100-013.png"
"","20709","image-button-response","26","null","397456","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-008.png","9","Rabbit","74-008.png"
"","7829","image-button-response","27","null","405797","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-013.png","6","Cup","113-013.png"
"","5190","image-button-response","28","null","411496","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-006.png","11","Watch","12-006.png"
"","11364","image-button-response","29","null","423371","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-008.png","7","Hat","9-008.png"
"","8955","image-button-response","30","null","432844","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-008.png","7","Hat","33-008.png"
"","7161","image-button-response","31","null","440513","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-013.png","3","Car","72-013.png"
"","5087","image-button-response","32","null","446118","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-013.png","10","Tree","41-013.png"
"","7222","image-button-response","33","null","453850","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-015.png","0","Airplane","109-015.png"
"","12730","image-button-response","34","null","467091","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-009.png","7","Hat","96-009.png"
"","5165","image-button-response","35","null","472768","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-016.png","7","Hat","41-016.png"
"","9351","image-button-response","36","null","482627","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-010.png","9","Rabbit","42-010.png"
"","6060","image-button-response","37","null","489195","685c6ca90f751d3aae6b1794","685c6e2e16faa2a647b2542b","6849f54c68216eb60f2136a5","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-007.png","8","House","114-007.png"
