"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":69017},{""page_index"":1,""viewing_time"":8753},{""page_index"":2,""viewing_time"":21973},{""page_index"":3,""viewing_time"":11805}]","111547","instructions","0","null","111571","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","","","","","","",""
"","4732","image-button-response","1","null","117327","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","5862","image-button-response","2","null","123694","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","84856","image-button-response","3","null","209059","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-008.png","10","Tree","1-008.png"
"","24522","image-button-response","4","null","234090","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-010.png","8","House","21-010.png"
"","10979","image-button-response","5","null","245585","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-006.png","10","Tree","79-006.png"
"","11660","image-button-response","6","null","257756","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-010.png","0","Airplane","120-010.png"
"","11455","image-button-response","7","null","269729","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-011.png","9","Rabbit","101-011.png"
"","25429","image-button-response","8","null","295668","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-015.png","9","Rabbit","1-015.png"
"","16576","image-button-response","9","null","312753","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-010.png","3","Car","48-010.png"
"","10153","image-button-response","10","null","323416","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-005.png","3","Car","48-005.png"
"","22946","image-button-response","11","null","346866","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-008.png","10","Tree","39-008.png"
"","51811","image-button-response","12","null","399188","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-005.png","3","Car","19-005.png"
"","24468","image-button-response","13","null","424163","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-008.png","9","Rabbit","119-008.png"
"","12381","image-button-response","14","null","437061","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-016.png","8","House","47-016.png"
"","6848","image-button-response","15","null","444423","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-013.png","4","Cat","61-013.png"
"","19794","image-button-response","16","null","464731","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-008.png","10","Tree","19-008.png"
"","11892","image-button-response","17","null","477141","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-007.png","0","Airplane","61-007.png"
"","8642","image-button-response","18","null","486287","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-014.png","5","Chair","88-014.png"
"","17354","image-button-response","19","null","504146","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-013.png","8","House","40-013.png"
"","13059","image-button-response","20","null","517710","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-005.png","3","Car","40-005.png"
"","16964","image-button-response","21","null","535189","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-006.png","4","Cat","87-006.png"
"","8780","image-button-response","22","null","544478","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-009.png","5","Chair","101-009.png"
"","6334","image-button-response","23","null","551320","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-005.png","0","Airplane","87-005.png"
"","3151","image-button-response","24","null","554991","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","10631","image-button-response","25","null","566134","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-016.png","6","Cup","61-016.png"
"","11110","image-button-response","26","null","577751","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-012.png","3","Car","101-012.png"
"","12507","image-button-response","27","null","590763","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-013.png","3","Car","101-013.png"
"","8684","image-button-response","28","null","599954","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-008.png","8","House","48-008.png"
"","13453","image-button-response","29","null","613913","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-014.png","5","Chair","78-014.png"
"","8812","image-button-response","30","null","623241","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-009.png","9","Rabbit","61-009.png"
"","10470","image-button-response","31","null","634223","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-009.png","4","Cat","1-009.png"
"","8732","image-button-response","32","null","643465","685c6ca90f751d3aae6b1794","685c6f388fbcd696a74bee93","6849fb64f9dac52b426c9aad","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-013.png","10","Tree","120-013.png"
