"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":78678},{""page_index"":1,""viewing_time"":15264},{""page_index"":2,""viewing_time"":15432},{""page_index"":3,""viewing_time"":33576}]","142950","instructions","0","null","142961","685c6ca90f751d3aae6b1794","685c6e300ff8771a740f1966","684a1efd831ce4b95c2e756c","","","","","","",""
"","5219","image-button-response","1","null","149209","685c6ca90f751d3aae6b1794","685c6e300ff8771a740f1966","684a1efd831ce4b95c2e756c","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2652","image-button-response","2","null","152368","685c6ca90f751d3aae6b1794","685c6e300ff8771a740f1966","684a1efd831ce4b95c2e756c","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","6701","image-button-response","3","null","159584","685c6ca90f751d3aae6b1794","685c6e300ff8771a740f1966","684a1efd831ce4b95c2e756c","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-012.png","8","House","72-012.png"
"","18551","image-button-response","4","null","178656","685c6ca90f751d3aae6b1794","685c6e300ff8771a740f1966","684a1efd831ce4b95c2e756c","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-010.png","2","Bird","49-010.png"
"","5822","image-button-response","5","null","184992","685c6ca90f751d3aae6b1794","685c6e300ff8771a740f1966","684a1efd831ce4b95c2e756c","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-013.png","7","Hat","68-013.png"
"","7230","image-button-response","6","null","192736","685c6ca90f751d3aae6b1794","685c6e300ff8771a740f1966","684a1efd831ce4b95c2e756c","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-016.png","7","Hat","55-016.png"
"","19957","image-button-response","7","null","213200","685c6ca90f751d3aae6b1794","685c6e300ff8771a740f1966","684a1efd831ce4b95c2e756c","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-015.png","9","Rabbit","40-015.png"
"","11876","image-button-response","8","null","225584","685c6ca90f751d3aae6b1794","685c6e300ff8771a740f1966","684a1efd831ce4b95c2e756c","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-011.png","4","Cat","101-011.png"
"","6194","image-button-response","9","null","232288","685c6ca90f751d3aae6b1794","685c6e300ff8771a740f1966","684a1efd831ce4b95c2e756c","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-005.png","0","Airplane","87-005.png"
