"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":25401},{""page_index"":1,""viewing_time"":7902},{""page_index"":2,""viewing_time"":8881},{""page_index"":3,""viewing_time"":14448}]","56633","instructions","0","null","56735","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","","","","","","",""
"","7220","image-button-response","1","null","64967","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","5911","image-button-response","2","null","71390","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","9596","image-button-response","3","null","81495","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-009.png","10","Tree","88-009.png"
"","8820","image-button-response","4","null","90823","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-014.png","0","Airplane","96-014.png"
"","12060","image-button-response","5","null","103391","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-015.png","11","Watch","119-015.png"
"","9188","image-button-response","6","null","113085","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-012.png","0","Airplane","79-012.png"
"","12354","image-button-response","7","null","125957","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-015.png","6","Cup","73-015.png"
"","7029","image-button-response","8","null","133495","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-007.png","10","Tree","101-007.png"
"","12379","image-button-response","9","null","146390","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-005.png","7","Hat","95-005.png"
"","11030","image-button-response","10","null","157933","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-008.png","0","Airplane","44-008.png"
"","26947","image-button-response","11","null","185399","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/45-006.png","10","Tree","45-006.png"
"","26393","image-button-response","12","null","212302","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-007.png","10","Tree","15-007.png"
"","8054","image-button-response","13","null","220877","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-010.png","10","Tree","61-010.png"
"","11951","image-button-response","14","null","233341","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-011.png","9","Rabbit","62-011.png"
"","2223","image-button-response","15","null","236077","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","10399","image-button-response","16","null","246989","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-006.png","8","House","32-006.png"
"","12310","image-button-response","17","null","259805","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-009.png","5","Chair","4-009.png"
"","17567","image-button-response","18","null","277886","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-015.png","7","Hat","22-015.png"
"","11164","image-button-response","19","null","289564","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-006.png","11","Watch","1-006.png"
"","23012","image-button-response","20","null","313086","685c6ca90f751d3aae6b1794","685c6e706b7df0898b6f7038","684f775be907689bdef198ec","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-008.png","11","Watch","22-008.png"
