"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":54797},{""page_index"":1,""viewing_time"":17120},{""page_index"":2,""viewing_time"":9376},{""page_index"":3,""viewing_time"":20696}]","101989","instructions","0","null","102021","685c6ca90f751d3aae6b1794","685c6e2209a5f9ec9f81f847","68547ee196c7c3bc8ce6b376","","","","","","",""
"","6672","image-button-response","1","null","109701","685c6ca90f751d3aae6b1794","685c6e2209a5f9ec9f81f847","68547ee196c7c3bc8ce6b376","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3737","image-button-response","2","null","113949","685c6ca90f751d3aae6b1794","685c6e2209a5f9ec9f81f847","68547ee196c7c3bc8ce6b376","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","31029","image-button-response","3","null","145493","685c6ca90f751d3aae6b1794","685c6e2209a5f9ec9f81f847","68547ee196c7c3bc8ce6b376","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-011.png","11","Watch","37-011.png"
"","63841","image-button-response","4","null","209853","685c6ca90f751d3aae6b1794","685c6e2209a5f9ec9f81f847","68547ee196c7c3bc8ce6b376","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-013.png","5","Chair","36-013.png"
"","9859","image-button-response","5","null","220221","685c6ca90f751d3aae6b1794","685c6e2209a5f9ec9f81f847","68547ee196c7c3bc8ce6b376","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-007.png","1","Bicycle","10-007.png"
"","6277","image-button-response","6","null","227014","685c6ca90f751d3aae6b1794","685c6e2209a5f9ec9f81f847","68547ee196c7c3bc8ce6b376","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-006.png","2","Bird","115-006.png"
"","9749","image-button-response","7","null","237269","685c6ca90f751d3aae6b1794","685c6e2209a5f9ec9f81f847","68547ee196c7c3bc8ce6b376","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-011.png","11","Watch","46-011.png"
"","13226","image-button-response","8","null","251005","685c6ca90f751d3aae6b1794","685c6e2209a5f9ec9f81f847","68547ee196c7c3bc8ce6b376","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-009.png","7","Hat","7-009.png"
"","26044","image-button-response","9","null","277557","685c6ca90f751d3aae6b1794","685c6e2209a5f9ec9f81f847","68547ee196c7c3bc8ce6b376","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-008.png","7","Hat","16-008.png"
