"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":28750},{""page_index"":1,""viewing_time"":6252},{""page_index"":2,""viewing_time"":6630},{""page_index"":3,""viewing_time"":11969}]","53600","instructions","0","null","53610","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","","","","","","",""
"","3390","image-button-response","1","null","58021","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3826","image-button-response","2","null","62361","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","21794","image-button-response","3","null","84673","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-013.png","7","Hat","78-013.png"
"","2143","image-button-response","4","null","87346","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","21780","image-button-response","5","null","109643","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-016.png","11","Watch","29-016.png"
"","9222","image-button-response","6","null","119381","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-009.png","4","Cat","43-009.png"
"","6483","image-button-response","7","null","126377","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-005.png","10","Tree","84-005.png"
"","3553","image-button-response","8","null","130447","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-006.png","0","Airplane","51-006.png"
"","3288","image-button-response","9","null","134245","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-005.png","0","Airplane","75-005.png"
"","6381","image-button-response","10","null","141134","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-006.png","2","Bird","88-006.png"
"","19849","image-button-response","11","null","161495","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-011.png","0","Airplane","21-011.png"
"","31445","image-button-response","12","null","193447","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-016.png","9","Rabbit","6-016.png"
"","18270","image-button-response","13","null","212227","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-014.png","10","Tree","40-014.png"
"","6203","image-button-response","14","null","218941","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-008.png","4","Cat","63-008.png"
"","5491","image-button-response","15","null","224948","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-006.png","9","Rabbit","112-006.png"
"","4074","image-button-response","16","null","229530","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-016.png","2","Bird","56-016.png"
"","3152","image-button-response","17","null","233201","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-013.png","3","Car","101-013.png"
"","2102","image-button-response","18","null","235807","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-009.png","3","Car","46-009.png"
"","17397","image-button-response","19","null","253712","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-014.png","9","Rabbit","44-014.png"
"","7067","image-button-response","20","null","261287","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-014.png","0","Airplane","79-014.png"
"","13392","image-button-response","21","null","275193","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-007.png","10","Tree","11-007.png"
"","5867","image-button-response","22","null","281574","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-013.png","3","Car","71-013.png"
"","3561","image-button-response","23","null","285643","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-015.png","11","Watch","80-015.png"
"","5782","image-button-response","24","null","291940","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-008.png","5","Chair","17-008.png"
"","8340","image-button-response","25","null","300795","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-012.png","2","Bird","33-012.png"
"","6359","image-button-response","26","null","307674","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-006.png","5","Chair","21-006.png"
"","25477","image-button-response","27","null","333667","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-015.png","7","Hat","105-015.png"
"","14112","image-button-response","28","null","348286","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-007.png","8","House","2-007.png"
"","5754","image-button-response","29","null","354554","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-006.png","2","Bird","115-006.png"
"","4351","image-button-response","30","null","359417","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-015.png","4","Cat","39-015.png"
"","4442","image-button-response","31","null","364368","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-012.png","5","Chair","110-012.png"
"","2784","image-button-response","32","null","367662","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-014.png","6","Cup","85-014.png"
"","2868","image-button-response","33","null","371043","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-015.png","11","Watch","119-015.png"
"","3930","image-button-response","34","null","375479","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-007.png","1","Bicycle","22-007.png"
"","2429","image-button-response","35","null","378415","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-011.png","6","Cup","67-011.png"
"","5594","image-button-response","36","null","384518","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-011.png","5","Chair","84-011.png"
"","16673","image-button-response","37","null","401704","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-015.png","0","Airplane","8-015.png"
"","5751","image-button-response","38","null","407971","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-012.png","3","Car","61-012.png"
"","3224","image-button-response","39","null","411710","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-012.png","6","Cup","44-012.png"
"","8335","image-button-response","40","null","420555","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-012.png","11","Watch","48-012.png"
"","7491","image-button-response","41","null","428557","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-011.png","4","Cat","51-011.png"
"","6295","image-button-response","42","null","435359","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-009.png","11","Watch","21-009.png"
"","2824","image-button-response","43","null","438700","685c6ca90f751d3aae6b1794","685c6e7b0c0c05f43992c28b","6855e80eca37e090e75140fa","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-010.png","10","Tree","61-010.png"
