"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":22665},{""page_index"":1,""viewing_time"":19087},{""page_index"":2,""viewing_time"":25224},{""page_index"":3,""viewing_time"":17832}]","84809","instructions","0","null","84826","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","","","","","","",""
"","7373","image-button-response","1","null","93225","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","4070","image-button-response","2","null","97801","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","28697","image-button-response","3","null","127009","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-011.png","3","Car","36-011.png"
"","8413","image-button-response","4","null","135929","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-008.png","6","Cup","116-008.png"
"","26196","image-button-response","5","null","162641","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/45-010.png","8","House","45-010.png"
"","20058","image-button-response","6","null","183217","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-006.png","10","Tree","116-006.png"
"","43130","image-button-response","7","null","226857","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-016.png","7","Hat","15-016.png"
"","38485","image-button-response","8","null","265849","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-007.png","7","Hat","116-007.png"
"","27678","image-button-response","9","null","294034","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-015.png","9","Rabbit","82-015.png"
"","21134","image-button-response","10","null","315675","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-007.png","6","Cup","43-007.png"
"","43377","image-button-response","11","null","359570","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-007.png","5","Chair","82-007.png"
"","12518","image-button-response","12","null","372601","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-016.png","8","House","76-016.png"
"","12214","image-button-response","13","null","385330","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-013.png","2","Bird","82-013.png"
"","32376","image-button-response","14","null","418225","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-005.png","7","Hat","35-005.png"
"","19550","image-button-response","15","null","438282","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-014.png","0","Airplane","81-014.png"
"","14175","image-button-response","16","null","452962","685c6ca90f751d3aae6b1794","685c6e57114cc28629b6eefd","6856125b77790661c6fcaf58","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-006.png","2","Bird","33-006.png"
