"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":16286},{""page_index"":1,""viewing_time"":18215},{""page_index"":2,""viewing_time"":41596},{""page_index"":3,""viewing_time"":27249}]","103347","instructions","0","null","103366","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","","","","","","",""
"","7094","image-button-response","1","null","111472","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","4243","image-button-response","2","null","116223","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","35433","image-button-response","3","null","152176","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-013.png","11","Watch","75-013.png"
"","14741","image-button-response","4","null","167426","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-006.png","7","Hat","55-006.png"
"","15653","image-button-response","5","null","183588","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-005.png","7","Hat","35-005.png"
"","19136","image-button-response","6","null","203232","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-015.png","10","Tree","16-015.png"
"","7138","image-button-response","7","null","210889","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","5178","image-button-response","8","null","216586","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-015.png","8","House","54-015.png"
"","2846","image-button-response","9","null","219949","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-005.png","3","Car","38-005.png"
"","3209","image-button-response","10","null","223674","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-015.png","6","Cup","55-015.png"
"","7569","image-button-response","11","null","231747","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-014.png","3","Car","82-014.png"
"","20371","image-button-response","12","null","252621","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-009.png","10","Tree","8-009.png"
"","20291","image-button-response","13","null","273424","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-016.png","2","Bird","35-016.png"
"","5408","image-button-response","14","null","279338","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-007.png","4","Cat","16-007.png"
"","2681","image-button-response","15","null","282537","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-012.png","10","Tree","38-012.png"
"","5421","image-button-response","16","null","288476","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-014.png","5","Chair","7-014.png"
"","2719","image-button-response","17","null","291708","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-012.png","3","Car","104-012.png"
"","4292","image-button-response","18","null","296516","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-011.png","8","House","44-011.png"
"","4507","image-button-response","19","null","301538","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-012.png","11","Watch","47-012.png"
"","4280","image-button-response","20","null","306331","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-015.png","11","Watch","119-015.png"
"","8359","image-button-response","21","null","315205","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-011.png","9","Rabbit","103-011.png"
"","6035","image-button-response","22","null","321760","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-015.png","4","Cat","100-015.png"
"","4332","image-button-response","23","null","326607","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-009.png","5","Chair","101-009.png"
"","2828","image-button-response","24","null","329949","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-011.png","10","Tree","42-011.png"
"","2414","image-button-response","25","null","332873","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-010.png","11","Watch","81-010.png"
"","3164","image-button-response","26","null","336550","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-015.png","5","Chair","19-015.png"
"","3155","image-button-response","27","null","340222","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-012.png","6","Cup","7-012.png"
"","13156","image-button-response","28","null","353890","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-011.png","5","Chair","53-011.png"
"","7550","image-button-response","29","null","361954","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-009.png","6","Cup","116-009.png"
"","8445","image-button-response","30","null","370916","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-011.png","10","Tree","18-011.png"
"","3412","image-button-response","31","null","374834","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-016.png","4","Cat","24-016.png"
"","12254","image-button-response","32","null","387608","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-015.png","0","Airplane","93-015.png"
"","5296","image-button-response","33","null","393414","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-007.png","8","House","113-007.png"
"","18026","image-button-response","34","null","411954","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-011.png","2","Bird","75-011.png"
"","5984","image-button-response","35","null","418447","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-012.png","0","Airplane","119-012.png"
"","6557","image-button-response","36","null","425524","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-013.png","4","Cat","56-013.png"
"","6187","image-button-response","37","null","432221","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-006.png","1","Bicycle","17-006.png"
"","3128","image-button-response","38","null","435858","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-014.png","10","Tree","16-014.png"
"","2698","image-button-response","39","null","439071","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-012.png","10","Tree","86-012.png"
"","3011","image-button-response","40","null","442597","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-014.png","6","Cup","87-014.png"
"","3444","image-button-response","41","null","446559","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-014.png","1","Bicycle","114-014.png"
"","2420","image-button-response","42","null","449496","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-015.png","11","Watch","80-015.png"
"","2862","image-button-response","43","null","452870","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-007.png","5","Chair","82-007.png"
"","2918","image-button-response","44","null","456303","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-010.png","6","Cup","37-010.png"
"","4114","image-button-response","45","null","460925","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-007.png","9","Rabbit","98-007.png"
"","2349","image-button-response","46","null","463789","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-011.png","6","Cup","64-011.png"
"","3448","image-button-response","47","null","467755","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-016.png","8","House","85-016.png"
"","2876","image-button-response","48","null","471139","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-012.png","8","House","74-012.png"
"","5219","image-button-response","49","null","476871","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-005.png","4","Cat","5-005.png"
"","5775","image-button-response","50","null","483168","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-008.png","7","Hat","93-008.png"
"","6174","image-button-response","51","null","489857","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-013.png","6","Cup","113-013.png"
"","4655","image-button-response","52","null","495031","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-006.png","5","Chair","21-006.png"
"","3511","image-button-response","53","null","499046","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-014.png","4","Cat","32-014.png"
"","3618","image-button-response","54","null","503179","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-015.png","2","Bird","103-015.png"
"","4779","image-button-response","55","null","508468","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-007.png","4","Cat","91-007.png"
"","5918","image-button-response","56","null","514897","685c6ca90f751d3aae6b1794","685c733f13e25e85afc3d161","6856f2e194e65fb7f8a950a1","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-007.png","2","Bird","23-007.png"
