"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":69827},{""page_index"":1,""viewing_time"":7487},{""page_index"":2,""viewing_time"":8904},{""page_index"":3,""viewing_time"":12848}]","99067","instructions","0","null","99095","685c6ca90f751d3aae6b1794","685c73b0544dd313a24be587","685716226974fa5fa6f64ce4","","","","","","",""
"","4970","image-button-response","1","null","105086","685c6ca90f751d3aae6b1794","685c73b0544dd313a24be587","685716226974fa5fa6f64ce4","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","12406","image-button-response","2","null","118014","685c6ca90f751d3aae6b1794","685c73b0544dd313a24be587","685716226974fa5fa6f64ce4","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","27658","image-button-response","3","null","146189","685c6ca90f751d3aae6b1794","685c73b0544dd313a24be587","685716226974fa5fa6f64ce4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-014.png","7","Hat","23-014.png"
"","6749","image-button-response","4","null","153446","685c6ca90f751d3aae6b1794","685c73b0544dd313a24be587","685716226974fa5fa6f64ce4","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-010.png","0","Airplane","86-010.png"
"","6154","image-button-response","5","null","160110","685c6ca90f751d3aae6b1794","685c73b0544dd313a24be587","685716226974fa5fa6f64ce4","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-008.png","8","House","2-008.png"
"","27558","image-button-response","6","null","188182","685c6ca90f751d3aae6b1794","685c73b0544dd313a24be587","685716226974fa5fa6f64ce4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-008.png","10","Tree","32-008.png"
"","18890","image-button-response","7","null","207582","685c6ca90f751d3aae6b1794","685c73b0544dd313a24be587","685716226974fa5fa6f64ce4","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-013.png","3","Car","101-013.png"
"","18836","image-button-response","8","null","226926","685c6ca90f751d3aae6b1794","685c73b0544dd313a24be587","685716226974fa5fa6f64ce4","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-006.png","5","Chair","93-006.png"
"","9200","image-button-response","9","null","236638","685c6ca90f751d3aae6b1794","685c73b0544dd313a24be587","685716226974fa5fa6f64ce4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-015.png","10","Tree","70-015.png"
