"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":114494},{""page_index"":1,""viewing_time"":6587},{""page_index"":2,""viewing_time"":8347},{""page_index"":3,""viewing_time"":16843}]","146272","instructions","0","null","146300","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","","","","","","",""
"","4178","image-button-response","1","null","151500","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3252","image-button-response","2","null","155271","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","48962","image-button-response","3","null","204747","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-013.png","5","Chair","47-013.png"
"","29603","image-button-response","4","null","234865","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-005.png","4","Cat","118-005.png"
"","13246","image-button-response","5","null","248629","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-006.png","1","Bicycle","17-006.png"
"","71243","image-button-response","6","null","320390","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-015.png","11","Watch","18-015.png"
"","18671","image-button-response","7","null","339587","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-015.png","9","Rabbit","84-015.png"
"","9899","image-button-response","8","null","349998","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-015.png","3","Car","17-015.png"
"","22367","image-button-response","9","null","372870","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-010.png","4","Cat","47-010.png"
"","29015","image-button-response","10","null","402403","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-010.png","8","House","18-010.png"
"","12707","image-button-response","11","null","415629","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-013.png","10","Tree","118-013.png"
"","15284","image-button-response","12","null","431422","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-005.png","0","Airplane","17-005.png"
"","15097","image-button-response","13","null","447031","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-008.png","4","Cat","47-008.png"
"","13168","image-button-response","14","null","460709","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-016.png","0","Airplane","38-016.png"
"","42953","image-button-response","15","null","504176","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-009.png","4","Cat","38-009.png"
"","12742","image-button-response","16","null","517430","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-005.png","10","Tree","46-005.png"
"","11797","image-button-response","17","null","529741","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-012.png","3","Car","17-012.png"
"","78162","image-button-response","18","null","608412","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-011.png","4","Cat","39-011.png"
"","60957","image-button-response","19","null","669885","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-013.png","1","Bicycle","77-013.png"
"","43747","image-button-response","20","null","714146","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-006.png","0","Airplane","77-006.png"
"","36029","image-button-response","21","null","750700","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-005.png","1","Bicycle","18-005.png"
"","13311","image-button-response","22","null","764541","685c6ca90f751d3aae6b1794","685c6e9ac9d46324294af7a5","68585edb6b031439356673a7","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-012.png","8","House","78-012.png"
