"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":14307},{""page_index"":1,""viewing_time"":2344},{""page_index"":2,""viewing_time"":3056},{""page_index"":3,""viewing_time"":5176}]","24883","instructions","0","null","24921","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","","","","","","",""
"","4002","image-button-response","1","null","29945","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","4907","image-button-response","2","null","35360","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","19390","image-button-response","3","null","55256","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-011.png","1","Bicycle","113-011.png"
"","8009","image-button-response","4","null","63776","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-012.png","6","Cup","75-012.png"
"","6031","image-button-response","5","null","70312","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-011.png","11","Watch","115-011.png"
"","7383","image-button-response","6","null","78207","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-012.png","8","House","82-012.png"
"","5313","image-button-response","7","null","84031","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","7386","image-button-response","8","null","91944","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-009.png","10","Tree","81-009.png"
"","7413","image-button-response","9","null","99863","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-009.png","0","Airplane","111-009.png"
"","15709","image-button-response","10","null","116079","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-013.png","6","Cup","43-013.png"
"","11151","image-button-response","11","null","127735","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-012.png","10","Tree","71-012.png"
"","5930","image-button-response","12","null","134175","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-007.png","5","Chair","35-007.png"
"","7545","image-button-response","13","null","142223","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-012.png","10","Tree","43-012.png"
"","12687","image-button-response","14","null","155415","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-006.png","5","Chair","55-006.png"
"","25864","image-button-response","15","null","181783","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-009.png","10","Tree","53-009.png"
"","23346","image-button-response","16","null","205639","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-016.png","2","Bird","35-016.png"
"","9070","image-button-response","17","null","215215","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-011.png","8","House","35-011.png"
"","19468","image-button-response","18","null","235191","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-015.png","7","Hat","14-015.png"
"","7626","image-button-response","19","null","243327","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-007.png","8","House","75-007.png"
"","12644","image-button-response","20","null","256487","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-016.png","4","Cat","44-016.png"
"","8514","image-button-response","21","null","265510","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-006.png","1","Bicycle","31-006.png"
"","10497","image-button-response","22","null","276511","685c6ca90f751d3aae6b1794","685c6e26d19390d40ccc5ffe","6859b1687219b7eb7d3a5d22","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-008.png","0","Airplane","41-008.png"
