"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":4080},{""page_index"":1,""viewing_time"":5895},{""page_index"":2,""viewing_time"":4104},{""page_index"":3,""viewing_time"":1520}]","15600","instructions","0","null","15636","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","","","","","","",""
"","3980","image-button-response","1","null","20628","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3326","image-button-response","2","null","24467","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","12581","image-button-response","3","null","37556","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-016.png","10","Tree","62-016.png"
"","19725","image-button-response","4","null","57788","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-013.png","4","Cat","60-013.png"
"","6653","image-button-response","5","null","64947","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-012.png","6","Cup","62-012.png"
"","6157","image-button-response","6","null","71611","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-013.png","0","Airplane","85-013.png"
"","8871","image-button-response","7","null","80996","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-008.png","1","Bicycle","62-008.png"
"","15155","image-button-response","8","null","96668","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-007.png","3","Car","56-007.png"
"","7073","image-button-response","9","null","104244","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-006.png","4","Cat","62-006.png"
"","5040","image-button-response","10","null","109787","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-014.png","8","House","62-014.png"
"","8477","image-button-response","11","null","118771","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-011.png","4","Cat","62-011.png"
"","5804","image-button-response","12","null","125083","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","15982","image-button-response","13","null","141571","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-005.png","7","Hat","56-005.png"
"","7436","image-button-response","14","null","149523","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-009.png","5","Chair","85-009.png"
"","3364","image-button-response","15","null","153395","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-012.png","0","Airplane","22-012.png"
"","6696","image-button-response","16","null","160595","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-010.png","2","Bird","20-010.png"
"","8220","image-button-response","17","null","169323","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-014.png","7","Hat","56-014.png"
"","9041","image-button-response","18","null","178883","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-007.png","7","Hat","102-007.png"
"","6001","image-button-response","19","null","185395","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-011.png","2","Bird","56-011.png"
"","12204","image-button-response","20","null","198109","685c6ca90f751d3aae6b1794","685c6db489f3b16f64fd1e3d","6859c8075495eedd660477c0","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-014.png","0","Airplane","20-014.png"
