"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":17926},{""page_index"":1,""viewing_time"":8912},{""page_index"":2,""viewing_time"":7040},{""page_index"":3,""viewing_time"":17928}]","51806","instructions","0","null","51823","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","","","","","","",""
"","5518","image-button-response","1","null","58352","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3900","image-button-response","2","null","62767","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","17846","image-button-response","3","null","81119","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-009.png","8","House","74-009.png"
"","14047","image-button-response","4","null","95680","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-009.png","10","Tree","81-009.png"
"","11635","image-button-response","5","null","107826","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-015.png","2","Bird","114-015.png"
"","9623","image-button-response","6","null","117959","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-007.png","6","Cup","115-007.png"
"","10378","image-button-response","7","null","128840","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-010.png","6","Cup","35-010.png"
"","16647","image-button-response","8","null","145999","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-015.png","7","Hat","14-015.png"
"","11050","image-button-response","9","null","157560","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-011.png","1","Bicycle","113-011.png"
"","13281","image-button-response","10","null","171351","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-012.png","2","Bird","33-012.png"
"","7004","image-button-response","11","null","178871","685c6ca90f751d3aae6b1794","685c6e1e9c8e8faced75b8c2","6859f08555adfe687185b981","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-008.png","0","Airplane","41-008.png"
