view_history,rt,trial_type,trial_index,plugin_version,time_elapsed,study_id,session_id,participant_id,catch_trial,prep_trial,sketcher_category,stimulus,response,response_category,sketch_id
"[{""page_index"":0,""viewing_time"":4912},{""page_index"":1,""viewing_time"":2191},{""page_index"":2,""viewing_time"":2307},{""page_index"":3,""viewing_time"":4798}]",14208,instructions,0,null,14219,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,,,,,,,
,4087,image-button-response,1,null,19323,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,TRUE,car,stimuli/prep_trials/1_car_prep.png,3,Car,
,3623,image-button-response,2,null,23458,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,TRUE,cat,stimuli/prep_trials/0_cat_prep.jpg,4,Cat,
,10765,image-button-response,3,null,34730,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Bicycle,https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-006.png,3,Car,82-006.png
,7549,image-button-response,4,null,42783,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Car,https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-011.png,0,Airplane,36-011.png
,5135,image-button-response,5,null,48422,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Tree,https://kisumu-drawings.s3-us-west-1.amazonaws.com/83-013.png,10,Tree,83-013.png
,8568,image-button-response,6,null,57502,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Car,https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-010.png,7,Hat,14-010.png
,5683,image-button-response,7,null,63694,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Rabbit,https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-012.png,4,Cat,97-012.png
,4349,image-button-response,8,null,68551,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Airplane,https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-008.png,0,Airplane,70-008.png
,7594,image-button-response,9,null,76657,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Bicycle,https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-010.png,5,Chair,53-010.png
,4214,image-button-response,10,null,81381,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Cat,https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-012.png,8,House,9-012.png
,6107,image-button-response,11,null,88006,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Bird,https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-010.png,5,Chair,116-010.png
,2710,image-button-response,12,null,91223,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Bird,https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-013.png,0,Airplane,21-013.png
,3061,image-button-response,13,null,94790,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Watch,https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-016.png,11,Watch,96-016.png
,3259,image-button-response,14,null,98558,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Cup,https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-008.png,6,Cup,107-008.png
,3862,image-button-response,15,null,102934,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Watch,https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-012.png,11,Watch,69-012.png
,9880,image-button-response,16,null,113330,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Airplane,https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-013.png,3,Car,10-013.png
,5990,image-button-response,17,null,119838,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Cup,https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-015.png,5,Chair,48-015.png
,3977,image-button-response,18,null,124326,68769bb471ece8c02a5878a4,68769cb2535443ceb256c829,6512d75a240112657b048033,FALSE,FALSE,Bird,https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-010.png,0,Airplane,44-010.png
