Run,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
1,685c6daef712b89175be37fd,63127690860023ab6b50a0b2,RETURNED,Not Applicable,2025-06-25T21:44:44Z,NA,NA,2025-07-09T20:12:56Z,NA,NA,4138,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,685c6dcffaf1557af1fd2491,685549b2416a335fd55f8c59,RETURNED,Not Applicable,2025-06-25T21:45:05Z,NA,NA,2025-07-09T20:12:56Z,NA,NA,60,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,685c6df9210abc180f83beb5,683f8e80f1cb9c33d5b6b27b,RETURNED,Not Applicable,2025-06-25T21:45:34Z,NA,NA,2025-07-09T20:12:56Z,NA,NA,161,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,685c6e0807589d53a0f026e2,68583aba0d9ecf3848db7175,RETURNED,Not Applicable,2025-06-25T21:45:48Z,NA,NA,2025-07-09T20:12:56Z,NA,NA,86,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,685c6e0f104e77f2461a786f,685086ed7ed318f7fef1971d,RETURNED,Not Applicable,2025-06-25T21:55:28Z,NA,NA,2025-07-09T20:12:56Z,NA,NA,6,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,685c6e141d9b3e02f6f63101,684531107a9549e378eb0688,RETURNED,Not Applicable,2025-06-25T21:47:32Z,NA,NA,2025-07-09T20:12:56Z,NA,NA,359,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,685c6e14469eaa25b9983f5b,6830d9deb7586327a2f4833e,RETURNED,Not Applicable,2025-06-25T21:46:11Z,NA,NA,2025-07-09T20:12:56Z,NA,NA,317,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,685c6e157b069858ed43c6fe,6855d713528b6cb417b5dd3a,RETURNED,Not Applicable,2025-06-25T21:46:06Z,NA,NA,2025-07-09T20:12:56Z,NA,NA,116,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,685c6e17b2341ebe0780e377,684667953c5e8330d2bc9284,RETURNED,Not Applicable,2025-06-25T21:46:12Z,NA,NA,2025-07-09T20:12:56Z,NA,NA,217,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,685c6e189f7990bd1a4f4ea5,6859b1b7c96fdebc87769b5c,RETURNED,Not Applicable,2025-06-25T21:46:10Z,NA,NA,2025-07-09T20:12:56Z,NA,NA,110,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
