prolific_pid,drawing_category,response,sketch_id,age,correct,child_id
558d8d71fdf99b534f79b352,Bird,Bird,63-011.png,7,TRUE,63
558d8d71fdf99b534f79b352,House,House,94-016.png,8,TRUE,94
558d8d71fdf99b534f79b352,Bicycle,Bicycle,109-016.png,9,TRUE,109
558d8d71fdf99b534f79b352,Car,Cat,27-016.png,5,FALSE,27
558d8d71fdf99b534f79b352,Bird,Bird,108-011.png,9,TRUE,108
558d8d71fdf99b534f79b352,Bicycle,Bicycle,52-005.png,6,TRUE,52
558d8d71fdf99b534f79b352,Rabbit,Cat,107-005.png,9,FALSE,107
558d8d71fdf99b534f79b352,Tree,Hat,107-010.png,9,FALSE,107
558d8d71fdf99b534f79b352,Cup,Chair,27-014.png,5,FALSE,27
558d8d71fdf99b534f79b352,Watch,Watch,26-015.png,5,TRUE,26
558d8d71fdf99b534f79b352,Hat,Hat,108-006.png,9,TRUE,108
558d8d71fdf99b534f79b352,Chair,Chair,7-007.png,4,TRUE,7
558d8d71fdf99b534f79b352,Airplane,Airplane,8-015.png,4,TRUE,8
558d8d71fdf99b534f79b352,Tree,Tree,50-009.png,6,TRUE,50
558d8d71fdf99b534f79b352,Watch,Watch,107-011.png,9,TRUE,107
558d8d71fdf99b534f79b352,Tree,Tree,93-014.png,8,TRUE,93
558d8d71fdf99b534f79b352,Rabbit,Bird,27-010.png,5,FALSE,27
558d8d71fdf99b534f79b352,Chair,Chair,94-010.png,8,TRUE,94
558d8d71fdf99b534f79b352,Hat,Cup,7-014.png,4,FALSE,7
558d8d71fdf99b534f79b352,Watch,Tree,6-015.png,4,FALSE,6
558d8d71fdf99b534f79b352,Rabbit,Rabbit,51-012.png,6,TRUE,51
558d8d71fdf99b534f79b352,Hat,Hat,63-014.png,7,TRUE,63
558d8d71fdf99b534f79b352,House,House,51-005.png,6,TRUE,51
558d8d71fdf99b534f79b352,Watch,Watch,93-016.png,8,TRUE,93
558d8d71fdf99b534f79b352,Cup,Cup,7-012.png,4,TRUE,7
558d8d71fdf99b534f79b352,Cat,Cat,63-008.png,7,TRUE,63
558d8d71fdf99b534f79b352,Airplane,Airplane,69-013.png,7,TRUE,69
558d8d71fdf99b534f79b352,Chair,Chair,27-011.png,5,TRUE,27
558d8d71fdf99b534f79b352,Bicycle,Car,95-010.png,8,FALSE,95
558d8d71fdf99b534f79b352,Cup,Cup,51-010.png,6,TRUE,51
558d8d71fdf99b534f79b352,Car,Chair,7-006.png,4,FALSE,7
558d8d71fdf99b534f79b352,Car,Car,63-007.png,7,TRUE,63
558d8d71fdf99b534f79b352,Rabbit,Rabbit,68-005.png,7,TRUE,68
558d8d71fdf99b534f79b352,Airplane,Hat,52-015.png,6,FALSE,52
558d8d71fdf99b534f79b352,Airplane,Airplane,108-014.png,9,TRUE,108
558d8d71fdf99b534f79b352,Tree,Hat,26-016.png,5,FALSE,26
558d8d71fdf99b534f79b352,Cat,Chair,7-005.png,4,FALSE,7
558d8d71fdf99b534f79b352,Bird,Cat,94-013.png,8,FALSE,94
558d8d71fdf99b534f79b352,Bicycle,Cat,27-006.png,5,FALSE,27
558d8d71fdf99b534f79b352,Bird,Tree,7-010.png,4,FALSE,7
558d8d71fdf99b534f79b352,Cat,Bird,27-008.png,5,FALSE,27
