tracing_id,tracing_type,age,n
S100_age8_trial1.png,1,8,15
S100_age8_trial2.png,2,8,11
S100_age8_trial3.png,3,8,15
S100_age8_trial4.png,4,8,15
S100_age8_trial5.png,5,8,13
S101_age9_trial1.png,1,9,13
S101_age9_trial2.png,2,9,14
S101_age9_trial3.png,3,9,12
S101_age9_trial4.png,4,9,11
S101_age9_trial5.png,5,9,12
S102_age9_trial1.png,1,9,11
S102_age9_trial2.png,2,9,13
S102_age9_trial3.png,3,9,14
S102_age9_trial4.png,4,9,12
S102_age9_trial5.png,5,9,15
S103_age9_trial1.png,1,9,12
S103_age9_trial2.png,2,9,14
S103_age9_trial3.png,3,9,19
S103_age9_trial4.png,4,9,11
S103_age9_trial5.png,5,9,19
S104_age9_trial1.png,1,9,18
S104_age9_trial2.png,2,9,16
S104_age9_trial3.png,3,9,13
S104_age9_trial4.png,4,9,13
S104_age9_trial5.png,5,9,19
S105_age9_trial1.png,1,9,15
S105_age9_trial2.png,2,9,16
S105_age9_trial3.png,3,9,16
S105_age9_trial4.png,4,9,16
S105_age9_trial5.png,5,9,11
S106_age9_trial1.png,1,9,13
S106_age9_trial2.png,2,9,20
S106_age9_trial3.png,3,9,14
S106_age9_trial4.png,4,9,16
S106_age9_trial5.png,5,9,15
S107_age9_trial1.png,1,9,16
S107_age9_trial2.png,2,9,12
S107_age9_trial3.png,3,9,12
S107_age9_trial4.png,4,9,16
S107_age9_trial5.png,5,9,13
S108_age9_trial1.png,1,9,11
S108_age9_trial2.png,2,9,12
S108_age9_trial3.png,3,9,12
S108_age9_trial4.png,4,9,14
S108_age9_trial5.png,5,9,11
S109_age9_trial1.png,1,9,12
S109_age9_trial2.png,2,9,14
S109_age9_trial3.png,3,9,14
S109_age9_trial4.png,4,9,11
S109_age9_trial5.png,5,9,11
S10_age4_trial1.png,1,4,12
S10_age4_trial2.png,2,4,12
S10_age4_trial3.png,3,4,16
S10_age4_trial4.png,4,4,13
S10_age4_trial5.png,5,4,13
S110_age9_trial1.png,1,9,15
S110_age9_trial2.png,2,9,12
S110_age9_trial3.png,3,9,11
