Run,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
1,68897592108f9eaf7df4684b,631f3e52174dc4e4047bbdce,RETURNED,Not Applicable,NA,NA,NA,2025-08-06T22:48:24Z,NA,NA,3774,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,68899ca4244c18ef4cd6bf82,641e62a8191451d08e6c08f7,APPROVED,Not Applicable,2025-07-30T04:16:36Z,2025-07-30T04:27:42Z,2025-07-30T04:27:44Z,2025-07-30T04:27:42Z,667,C18GSJ0Y,2128,English,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,68899f3e8cabcc0b864cef7b,61292a3404d387db5b0b2a32,APPROVED,Not Applicable,2025-07-30T04:27:42Z,2025-07-30T04:35:40Z,2025-07-30T04:35:42Z,2025-07-30T04:35:40Z,478,C18GSJ0Y,3000,English,33,Male,White,United States,United States,United States,English,No,Full-Time
1,6889a11c8b9e88ebfadf37c0,616f727b03e888e0f8213eec,APPROVED,Not Applicable,2025-07-30T04:35:40Z,2025-07-30T04:46:56Z,2025-07-30T04:47:00Z,2025-07-30T04:46:57Z,677,C18GSJ0Y,3330,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,6889bba1a5500293bca4b81e,63e5b3e89a3823139cb9d35e,APPROVED,Not Applicable,2025-07-30T06:28:49Z,2025-07-30T06:40:02Z,2025-07-30T06:40:04Z,2025-07-30T06:40:02Z,673,C18GSJ0Y,1786,English,34,Male,White,United States,United States,United States,English,No,Full-Time
1,6889be42bc9659a7f6819a7e,6100372e3a116cb5cb36ebea,APPROVED,Not Applicable,2025-07-30T06:40:02Z,2025-07-30T06:48:14Z,2025-07-30T06:48:17Z,2025-07-30T06:48:15Z,493,C18GSJ0Y,2217,English,80,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,6889c02f063863804dd1a52d,650ba6f4f5af6b9824bc5a5a,APPROVED,Not Applicable,2025-07-30T06:48:15Z,2025-07-30T06:55:22Z,2025-07-30T06:55:25Z,2025-07-30T06:55:23Z,428,C18GSJ0Y,1493,English,48,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,6889dfb388840cb500d020e9,67d8337ef002686f1e7871f1,RETURNED,Not Applicable,2025-07-30T09:02:43Z,NA,NA,2025-08-06T22:48:24Z,NA,NA,183,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
1,6889e63300b29bb26b5ba7a5,673e5a3412198a5e62837745,APPROVED,Not Applicable,2025-07-30T09:32:08Z,2025-07-30T09:39:36Z,2025-07-30T09:39:38Z,2025-07-30T09:39:36Z,448,C18GSJ0Y,1064,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,6889e85943d123217003bbaa,66f08a7ef32da0b8eca514a0,RETURNED,Not Applicable,2025-07-30T09:39:45Z,NA,NA,2025-08-06T22:48:24Z,NA,NA,2066,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
