"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":3190},{""page_index"":1,""viewing_time"":4989},{""page_index"":2,""viewing_time"":6429},{""page_index"":3,""viewing_time"":7259}]","21868","instructions","0","null","21873","686d62ec803998618dffb3d1","686d81b90e3640469fb87b3f","5adf874e066c510001d454f5","","","","","","",""
"","1810","image-button-response","1","null","24699","686d62ec803998618dffb3d1","686d81b90e3640469fb87b3f","5adf874e066c510001d454f5","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1491","image-button-response","2","null","26697","686d62ec803998618dffb3d1","686d81b90e3640469fb87b3f","5adf874e066c510001d454f5","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","7587","image-button-response","3","null","34795","686d62ec803998618dffb3d1","686d81b90e3640469fb87b3f","5adf874e066c510001d454f5","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-005.png","0","Airplane","81-005.png"
"","6266","image-button-response","4","null","41578","686d62ec803998618dffb3d1","686d81b90e3640469fb87b3f","5adf874e066c510001d454f5","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-006.png","6","Cup","119-006.png"
"","9113","image-button-response","5","null","51199","686d62ec803998618dffb3d1","686d81b90e3640469fb87b3f","5adf874e066c510001d454f5","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-007.png","7","Hat","119-007.png"
"","11146","image-button-response","6","null","62847","686d62ec803998618dffb3d1","686d81b90e3640469fb87b3f","5adf874e066c510001d454f5","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-010.png","5","Chair","13-010.png"
"","12885","image-button-response","7","null","76243","686d62ec803998618dffb3d1","686d81b90e3640469fb87b3f","5adf874e066c510001d454f5","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-006.png","4","Cat","113-006.png"
"","7970","image-button-response","8","null","84730","686d62ec803998618dffb3d1","686d81b90e3640469fb87b3f","5adf874e066c510001d454f5","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-016.png","10","Tree","97-016.png"
"","8297","image-button-response","9","null","93535","686d62ec803998618dffb3d1","686d81b90e3640469fb87b3f","5adf874e066c510001d454f5","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-005.png","0","Airplane","115-005.png"
