"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":330090},{""page_index"":1,""viewing_time"":5337},{""page_index"":2,""viewing_time"":5208},{""page_index"":3,""viewing_time"":27568}]","368202","instructions","0","null","368213","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","","","","","","",""
"","3033","image-button-response","1","null","372254","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2232","image-button-response","2","null","374998","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4841","image-button-response","3","null","380342","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-011.png","1","Bicycle","113-011.png"
"","11423","image-button-response","4","null","392270","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-012.png","2","Bird","112-012.png"
"","3480","image-button-response","5","null","396254","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-007.png","2","Bird","17-007.png"
"","7951","image-button-response","6","null","404710","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-007.png","0","Airplane","73-007.png"
"","3932","image-button-response","7","null","409152","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-007.png","2","Bird","81-007.png"
"","5353","image-button-response","8","null","415023","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-005.png","11","Watch","44-005.png"
"","3089","image-button-response","9","null","418615","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-006.png","1","Bicycle","17-006.png"
"","3241","image-button-response","10","null","422367","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-007.png","5","Chair","87-007.png"
"","4226","image-button-response","11","null","427111","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-005.png","7","Hat","39-005.png"
"","2608","image-button-response","12","null","430223","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-013.png","4","Cat","17-013.png"
"","5846","image-button-response","13","null","436575","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-009.png","9","Rabbit","1-009.png"
"","5484","image-button-response","14","null","442576","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-008.png","2","Bird","47-008.png"
"","2472","image-button-response","15","null","445559","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-005.png","0","Airplane","87-005.png"
"","1951","image-button-response","16","null","448015","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-013.png","8","House","42-013.png"
"","2665","image-button-response","17","null","451195","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-008.png","10","Tree","19-008.png"
"","2375","image-button-response","18","null","454072","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-011.png","4","Cat","100-011.png"
"","5360","image-button-response","19","null","459937","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-008.png","0","Airplane","35-008.png"
"","2917","image-button-response","20","null","463369","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-006.png","10","Tree","72-006.png"
"","2626","image-button-response","21","null","466504","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-005.png","4","Cat","36-005.png"
"","7136","image-button-response","22","null","474145","686d62ec803998618dffb3d1","686d8b19c61d666d2b5fe45a","5d829da97f572900184a7cb1","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-014.png","6","Cup","13-014.png"
