"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":19397},{""page_index"":1,""viewing_time"":8311},{""page_index"":2,""viewing_time"":11328},{""page_index"":3,""viewing_time"":18857}]","57893","instructions","0","null","57923","686d62ec803998618dffb3d1","686d77018dc09d30cb160294","5f4c810ebfcaa8194f5d8c14","","","","","","",""
"","4902","image-button-response","1","null","63843","686d62ec803998618dffb3d1","686d77018dc09d30cb160294","5f4c810ebfcaa8194f5d8c14","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2846","image-button-response","2","null","67202","686d62ec803998618dffb3d1","686d77018dc09d30cb160294","5f4c810ebfcaa8194f5d8c14","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","11748","image-button-response","3","null","79458","686d62ec803998618dffb3d1","686d77018dc09d30cb160294","5f4c810ebfcaa8194f5d8c14","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-010.png","1","Bicycle","120-010.png"
"","18838","image-button-response","4","null","98810","686d62ec803998618dffb3d1","686d77018dc09d30cb160294","5f4c810ebfcaa8194f5d8c14","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-006.png","3","Car","10-006.png"
"","10354","image-button-response","5","null","109667","686d62ec803998618dffb3d1","686d77018dc09d30cb160294","5f4c810ebfcaa8194f5d8c14","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-010.png","1","Bicycle","19-010.png"
"","9653","image-button-response","6","null","119826","686d62ec803998618dffb3d1","686d77018dc09d30cb160294","5f4c810ebfcaa8194f5d8c14","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-007.png","11","Watch","117-007.png"
"","3360","image-button-response","7","null","123690","686d62ec803998618dffb3d1","686d77018dc09d30cb160294","5f4c810ebfcaa8194f5d8c14","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-005.png","5","Chair","74-005.png"
"","2760","image-button-response","8","null","126966","686d62ec803998618dffb3d1","686d77018dc09d30cb160294","5f4c810ebfcaa8194f5d8c14","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-006.png","6","Cup","120-006.png"
"","2501","image-button-response","9","null","129978","686d62ec803998618dffb3d1","686d77018dc09d30cb160294","5f4c810ebfcaa8194f5d8c14","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-010.png","8","House","115-010.png"
