"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":13893},{""page_index"":1,""viewing_time"":4614},{""page_index"":2,""viewing_time"":5022},{""page_index"":3,""viewing_time"":6314}]","29843","instructions","0","null","29861","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","","","","","","",""
"","2136","image-button-response","1","null","33010","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1869","image-button-response","2","null","35388","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","13930","image-button-response","3","null","49835","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-015.png","7","Hat","10-015.png"
"","4593","image-button-response","4","null","54943","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-005.png","2","Bird","47-005.png"
"","3991","image-button-response","5","null","59510","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-010.png","6","Cup","35-010.png"
"","2571","image-button-response","6","null","62598","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-013.png","1","Bicycle","99-013.png"
"","10142","image-button-response","7","null","73314","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-013.png","7","Hat","48-013.png"
"","5744","image-button-response","8","null","79577","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-009.png","4","Cat","72-009.png"
"","4622","image-button-response","9","null","84707","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-006.png","5","Chair","118-006.png"
"","4037","image-button-response","10","null","89320","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-012.png","10","Tree","43-012.png"
"","8514","image-button-response","11","null","98342","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-009.png","9","Rabbit","1-009.png"
"","2826","image-button-response","12","null","101676","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-013.png","10","Tree","120-013.png"
"","2538","image-button-response","13","null","104721","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-006.png","10","Tree","76-006.png"
"","4857","image-button-response","14","null","110090","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-016.png","6","Cup","19-016.png"
"","2317","image-button-response","15","null","112923","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-013.png","6","Cup","46-013.png"
"","3131","image-button-response","16","null","116556","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-013.png","4","Cat","87-013.png"
"","3532","image-button-response","17","null","120593","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-012.png","11","Watch","54-012.png"
"","2131","image-button-response","18","null","123232","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-006.png","6","Cup","80-006.png"
"","6788","image-button-response","19","null","130536","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-010.png","9","Rabbit","16-010.png"
"","2502","image-button-response","20","null","133551","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-005.png","8","House","98-005.png"
"","12662","image-button-response","21","null","146722","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-016.png","3","Car","98-016.png"
"","3807","image-button-response","22","null","151052","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-016.png","4","Cat","44-016.png"
"","2227","image-button-response","23","null","153801","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-013.png","8","House","39-013.png"
"","2965","image-button-response","24","null","157280","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-007.png","8","House","48-007.png"
"","4091","image-button-response","25","null","161938","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-006.png","7","Hat","43-006.png"
"","2865","image-button-response","26","null","165369","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-006.png","9","Rabbit","11-006.png"
"","3980","image-button-response","27","null","169859","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-011.png","7","Hat","87-011.png"
"","3288","image-button-response","28","null","173669","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-008.png","3","Car","87-008.png"
"","2091","image-button-response","29","null","176277","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-008.png","7","Hat","14-008.png"
"","2620","image-button-response","30","null","179406","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-010.png","8","House","21-010.png"
"","3342","image-button-response","31","null","183263","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-013.png","5","Chair","80-013.png"
"","4801","image-button-response","32","null","188576","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-006.png","0","Airplane","77-006.png"
"","2580","image-button-response","33","null","191673","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-014.png","7","Hat","18-014.png"
"","2257","image-button-response","34","null","194444","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-007.png","6","Cup","43-007.png"
"","2260","image-button-response","35","null","197216","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-008.png","0","Airplane","118-008.png"
"","3476","image-button-response","36","null","201261","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-005.png","9","Rabbit","120-005.png"
"","2510","image-button-response","37","null","204278","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-006.png","7","Hat","17-006.png"
"","2026","image-button-response","38","null","206815","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-005.png","11","Watch","104-005.png"
"","2014","image-button-response","39","null","209346","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-015.png","4","Cat","86-015.png"
"","1969","image-button-response","40","null","211833","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-007.png","1","Bicycle","80-007.png"
"","6542","image-button-response","41","null","218932","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-013.png","11","Watch","77-013.png"
"","1716","image-button-response","42","null","221158","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","3001","image-button-response","43","null","224673","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-005.png","3","Car","38-005.png"
"","2248","image-button-response","44","null","227427","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-016.png","7","Hat","72-016.png"
"","1927","image-button-response","45","null","229859","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-011.png","3","Car","44-011.png"
"","3014","image-button-response","46","null","233380","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-008.png","1","Bicycle","115-008.png"
"","2012","image-button-response","47","null","235904","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-005.png","11","Watch","88-005.png"
"","3036","image-button-response","48","null","239458","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-016.png","2","Bird","18-016.png"
"","2375","image-button-response","49","null","242343","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-013.png","2","Bird","6-013.png"
"","1849","image-button-response","50","null","244759","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-010.png","8","House","39-010.png"
"","2425","image-button-response","51","null","247690","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-008.png","7","Hat","101-008.png"
"","2250","image-button-response","52","null","250449","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-007.png","2","Bird","17-007.png"
"","2195","image-button-response","53","null","253158","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-012.png","4","Cat","80-012.png"
"","2533","image-button-response","54","null","256200","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-011.png","9","Rabbit","48-011.png"
"","2223","image-button-response","55","null","258964","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-009.png","9","Rabbit","87-009.png"
"","2552","image-button-response","56","null","262082","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-009.png","4","Cat","37-009.png"
"","2455","image-button-response","57","null","265050","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-011.png","0","Airplane","49-011.png"
"","2147","image-button-response","58","null","267704","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-013.png","8","House","40-013.png"
"","2112","image-button-response","59","null","270377","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-009.png","3","Car","118-009.png"
"","2532","image-button-response","60","null","273414","686d62ec803998618dffb3d1","686d74b10d81053e7cc443f2","60c770aa2d2928bfda4c7cd4","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-013.png","1","Bicycle","79-013.png"
