"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":2159},{""page_index"":1,""viewing_time"":1511},{""page_index"":2,""viewing_time"":2832},{""page_index"":3,""viewing_time"":5306}]","11809","instructions","0","null","11858","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","","","","","","",""
"","3929","image-button-response","1","null","16799","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3555","image-button-response","2","null","20861","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4770","image-button-response","3","null","26138","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-014.png","9","Rabbit","115-014.png"
"","3620","image-button-response","4","null","30264","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","6794","image-button-response","5","null","37565","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-016.png","1","Bicycle","16-016.png"
"","3995","image-button-response","6","null","42066","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-014.png","2","Bird","86-014.png"
"","1795","image-button-response","7","null","44367","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-009.png","2","Bird","87-009.png"
"","10059","image-button-response","8","null","54933","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-010.png","1","Bicycle","11-010.png"
"","3816","image-button-response","9","null","59255","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-012.png","10","Tree","38-012.png"
"","1366","image-button-response","10","null","61127","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-016.png","10","Tree","12-016.png"
"","1926","image-button-response","11","null","63560","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-008.png","0","Airplane","54-008.png"
"","2170","image-button-response","12","null","66235","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-012.png","3","Car","17-012.png"
"","1904","image-button-response","13","null","68644","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-007.png","2","Bird","120-007.png"
"","1508","image-button-response","14","null","70658","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-005.png","3","Car","78-005.png"
"","1849","image-button-response","15","null","73012","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-005.png","6","Cup","93-005.png"
"","3732","image-button-response","16","null","77249","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-014.png","5","Chair","88-014.png"
"","2054","image-button-response","17","null","79811","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-006.png","6","Cup","119-006.png"
"","1803","image-button-response","18","null","82119","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-010.png","5","Chair","114-010.png"
"","2116","image-button-response","19","null","84741","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-007.png","5","Chair","78-007.png"
"","1485","image-button-response","20","null","86729","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-012.png","0","Airplane","21-012.png"
"","1901","image-button-response","21","null","89134","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-009.png","0","Airplane","39-009.png"
"","2790","image-button-response","22","null","92429","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-007.png","6","Cup","43-007.png"
"","2599","image-button-response","23","null","95533","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-005.png","2","Bird","47-005.png"
"","2218","image-button-response","24","null","98255","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-012.png","1","Bicycle","16-012.png"
"","1701","image-button-response","25","null","100461","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-014.png","8","House","68-014.png"
"","2266","image-button-response","26","null","103231","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-007.png","2","Bird","39-007.png"
"","1602","image-button-response","27","null","105337","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-014.png","2","Bird","33-014.png"
"","1973","image-button-response","28","null","107815","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-005.png","4","Cat","99-005.png"
"","1615","image-button-response","29","null","109935","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-010.png","0","Airplane","84-010.png"
"","1352","image-button-response","30","null","111791","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-005.png","4","Cat","38-005.png"
"","2348","image-button-response","31","null","114642","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-010.png","3","Car","85-010.png"
"","1795","image-button-response","32","null","116943","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-006.png","0","Airplane","43-006.png"
"","6928","image-button-response","33","null","124376","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-015.png","9","Rabbit","76-015.png"
"","4256","image-button-response","34","null","129138","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-013.png","6","Cup","40-013.png"
"","2123","image-button-response","35","null","131765","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-014.png","5","Chair","19-014.png"
"","1992","image-button-response","36","null","134261","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-012.png","0","Airplane","79-012.png"
"","1832","image-button-response","37","null","136597","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-010.png","1","Bicycle","33-010.png"
"","1857","image-button-response","38","null","138959","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-011.png","6","Cup","82-011.png"
"","2076","image-button-response","39","null","141540","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-009.png","3","Car","49-009.png"
"","1903","image-button-response","40","null","143948","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-007.png","8","House","114-007.png"
"","1936","image-button-response","41","null","146390","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-012.png","9","Rabbit","32-012.png"
"","5213","image-button-response","42","null","152108","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-015.png","3","Car","115-015.png"
"","1783","image-button-response","43","null","154396","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-015.png","10","Tree","75-015.png"
"","2577","image-button-response","44","null","157478","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-008.png","2","Bird","80-008.png"
"","3292","image-button-response","45","null","161274","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-014.png","6","Cup","18-014.png"
"","3657","image-button-response","46","null","165437","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-011.png","9","Rabbit","119-011.png"
"","3761","image-button-response","47","null","169702","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-005.png","0","Airplane","44-005.png"
"","2189","image-button-response","48","null","172394","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-008.png","1","Bicycle","15-008.png"
"","2145","image-button-response","49","null","175045","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-007.png","8","House","49-007.png"
"","2525","image-button-response","50","null","178075","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-015.png","11","Watch","18-015.png"
"","3126","image-button-response","51","null","181704","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-013.png","3","Car","44-013.png"
"","1867","image-button-response","52","null","184075","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-014.png","3","Car","77-014.png"
"","2389","image-button-response","53","null","186968","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-015.png","5","Chair","79-015.png"
"","4307","image-button-response","54","null","191781","686d62ec803998618dffb3d1","686d9fb9203e4d47f94287e1","62f6a5e7bd056277be777c68","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-005.png","8","House","15-005.png"
