"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":4543},{""page_index"":1,""viewing_time"":1860},{""page_index"":2,""viewing_time"":2170},{""page_index"":3,""viewing_time"":28090}]","36662","instructions","0","null","36680","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","","","","","","",""
"","2188","image-button-response","1","null","39880","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1412","image-button-response","2","null","41800","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4923","image-button-response","3","null","47227","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-013.png","10","Tree","1-013.png"
"","4070","image-button-response","4","null","51806","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-010.png","3","Car","119-010.png"
"","4034","image-button-response","5","null","56358","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-015.png","3","Car","36-015.png"
"","8280","image-button-response","6","null","65152","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-010.png","9","Rabbit","49-010.png"
"","2409","image-button-response","7","null","68068","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-011.png","1","Bicycle","113-011.png"
"","3058","image-button-response","8","null","71634","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-015.png","6","Cup","118-015.png"
"","7754","image-button-response","9","null","79892","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-005.png","6","Cup","18-005.png"
"","10053","image-button-response","10","null","90458","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-008.png","10","Tree","6-008.png"
"","3316","image-button-response","11","null","94276","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-013.png","2","Bird","102-013.png"
"","4238","image-button-response","12","null","99030","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-012.png","11","Watch","54-012.png"
"","12304","image-button-response","13","null","111852","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-005.png","2","Bird","33-005.png"
"","8401","image-button-response","14","null","120770","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-005.png","4","Cat","35-005.png"
"","6713","image-button-response","15","null","128000","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-014.png","8","House","117-014.png"
"","13093","image-button-response","16","null","141595","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-008.png","9","Rabbit","119-008.png"
"","7898","image-button-response","17","null","149997","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-012.png","10","Tree","71-012.png"
"","3534","image-button-response","18","null","154038","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-010.png","7","Hat","18-010.png"
"","27010","image-button-response","19","null","181563","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-014.png","0","Airplane","116-014.png"
"","2574","image-button-response","20","null","184640","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-007.png","5","Chair","38-007.png"
"","3183","image-button-response","21","null","188331","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-008.png","3","Car","31-008.png"
"","2780","image-button-response","22","null","191629","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-006.png","10","Tree","76-006.png"
"","6993","image-button-response","23","null","199124","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-005.png","0","Airplane","19-005.png"
"","2746","image-button-response","24","null","202380","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-012.png","7","Hat","39-012.png"
"","2529","image-button-response","25","null","205429","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-013.png","2","Bird","18-013.png"
"","2040","image-button-response","26","null","207988","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-010.png","8","House","88-010.png"
"","7311","image-button-response","27","null","215808","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-009.png","7","Hat","115-009.png"
"","3865","image-button-response","28","null","220180","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-009.png","10","Tree","81-009.png"
"","4254","image-button-response","29","null","224936","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-014.png","6","Cup","87-014.png"
"","3420","image-button-response","30","null","228869","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-007.png","5","Chair","82-007.png"
"","3047","image-button-response","31","null","232425","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","2856","image-button-response","32","null","235784","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-013.png","10","Tree","118-013.png"
"","5517","image-button-response","33","null","241814","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-013.png","4","Cat","114-013.png"
"","4128","image-button-response","34","null","246455","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/83-008.png","1","Bicycle","83-008.png"
"","4712","image-button-response","35","null","251672","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-008.png","10","Tree","8-008.png"
"","3101","image-button-response","36","null","255276","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-015.png","4","Cat","86-015.png"
"","5893","image-button-response","37","null","261681","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-012.png","11","Watch","98-012.png"
"","4802","image-button-response","38","null","266995","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-012.png","4","Cat","80-012.png"
"","6194","image-button-response","39","null","273697","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-006.png","3","Car","47-006.png"
"","7613","image-button-response","40","null","281823","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-007.png","1","Bicycle","11-007.png"
"","1799","image-button-response","41","null","284128","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-014.png","8","House","43-014.png"
"","1766","image-button-response","42","null","286406","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-007.png","11","Watch","36-007.png"
"","5647","image-button-response","43","null","292569","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-006.png","7","Hat","49-006.png"
"","4819","image-button-response","44","null","297899","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-010.png","3","Car","12-010.png"
"","4770","image-button-response","45","null","303171","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-015.png","7","Hat","62-015.png"
"","3499","image-button-response","46","null","307177","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-008.png","5","Chair","88-008.png"
"","7773","image-button-response","47","null","315467","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-016.png","0","Airplane","42-016.png"
"","1781","image-button-response","48","null","317759","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-010.png","6","Cup","35-010.png"
"","4946","image-button-response","49","null","323220","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-013.png","1","Bicycle","79-013.png"
"","5431","image-button-response","50","null","329155","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-012.png","3","Car","73-012.png"
"","3902","image-button-response","51","null","333571","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-010.png","2","Bird","71-010.png"
"","2781","image-button-response","52","null","336858","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-011.png","6","Cup","78-011.png"
"","2827","image-button-response","53","null","340192","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-008.png","11","Watch","82-008.png"
"","3190","image-button-response","54","null","343888","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-013.png","5","Chair","115-013.png"
"","9130","image-button-response","55","null","353533","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-008.png","11","Watch","55-008.png"
"","1832","image-button-response","56","null","355877","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-007.png","5","Chair","78-007.png"
"","4923","image-button-response","57","null","361303","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-014.png","0","Airplane","99-014.png"
"","2032","image-button-response","58","null","363847","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-011.png","11","Watch","17-011.png"
"","17939","image-button-response","59","null","382303","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-009.png","2","Bird","47-009.png"
"","4599","image-button-response","60","null","387406","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-005.png","11","Watch","104-005.png"
"","4250","image-button-response","61","null","392174","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-012.png","8","House","78-012.png"
"","3544","image-button-response","62","null","396233","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-011.png","6","Cup","50-011.png"
"","6313","image-button-response","63","null","403050","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-009.png","3","Car","72-009.png"
"","4179","image-button-response","64","null","407735","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-005.png","3","Car","81-005.png"
"","11185","image-button-response","65","null","419422","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-010.png","1","Bicycle","16-010.png"
"","6722","image-button-response","66","null","426659","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-007.png","3","Car","48-007.png"
"","4902","image-button-response","67","null","432073","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-008.png","2","Bird","33-008.png"
"","6072","image-button-response","68","null","438653","686d62ec803998618dffb3d1","686d9afbda0312a898cc6ec7","64ebc24a8921061fcf72748d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-011.png","2","Bird","37-011.png"
