"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":11733},{""page_index"":1,""viewing_time"":3732},{""page_index"":2,""viewing_time"":5313},{""page_index"":3,""viewing_time"":7329}]","28107","instructions","0","null","28113","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","","","","","","",""
"","2971","image-button-response","1","null","32087","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2880","image-button-response","2","null","35470","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","15317","image-button-response","3","null","51288","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-015.png","0","Airplane","38-015.png"
"","26980","image-button-response","4","null","78771","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-014.png","5","Chair","116-014.png"
"","4346","image-button-response","5","null","83618","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-011.png","6","Cup","50-011.png"
"","8622","image-button-response","6","null","92742","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-015.png","1","Bicycle","115-015.png"
"","3995","image-button-response","7","null","97240","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-009.png","2","Bird","87-009.png"
"","3315","image-button-response","8","null","101058","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-012.png","2","Bird","118-012.png"
"","4268","image-button-response","9","null","105829","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-006.png","8","House","107-006.png"
"","3444","image-button-response","10","null","109776","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-012.png","8","House","71-012.png"
"","5062","image-button-response","11","null","115341","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-009.png","2","Bird","78-009.png"
"","2192","image-button-response","12","null","118035","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-006.png","2","Bird","11-006.png"
"","2035","image-button-response","13","null","120571","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-013.png","2","Bird","13-013.png"
"","10127","image-button-response","14","null","131202","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-013.png","10","Tree","77-013.png"
"","3246","image-button-response","15","null","134950","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-005.png","0","Airplane","31-005.png"
"","3579","image-button-response","16","null","139032","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-015.png","8","House","46-015.png"
"","3466","image-button-response","17","null","143001","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-006.png","6","Cup","119-006.png"
"","2849","image-button-response","18","null","146353","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-013.png","6","Cup","47-013.png"
"","3786","image-button-response","19","null","150642","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-007.png","9","Rabbit","11-007.png"
"","5794","image-button-response","20","null","156939","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-006.png","5","Chair","10-006.png"
"","3591","image-button-response","21","null","161033","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-011.png","10","Tree","54-011.png"
"","4006","image-button-response","22","null","165540","686d62ec803998618dffb3d1","686dbdaa2b87712bdaf6082b","6672bf56d51710391ce2164d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-013.png","10","Tree","75-013.png"
