"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":4805},{""page_index"":1,""viewing_time"":2350},{""page_index"":2,""viewing_time"":3295},{""page_index"":3,""viewing_time"":7746}]","18195","instructions","0","null","18199","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","","","","","","",""
"","3210","image-button-response","1","null","22424","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1932","image-button-response","2","null","24859","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4302","image-button-response","3","null","29664","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-013.png","5","Chair","119-013.png"
"","2459","image-button-response","4","null","32634","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-006.png","8","House","95-006.png"
"","3986","image-button-response","5","null","37123","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","2180","image-button-response","6","null","39818","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-013.png","1","Bicycle","99-013.png"
"","24131","image-button-response","7","null","64453","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-009.png","1","Bicycle","39-009.png"
"","30375","image-button-response","8","null","95329","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-014.png","3","Car","15-014.png"
"","10039","image-button-response","9","null","105879","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-015.png","4","Cat","88-015.png"
"","8227","image-button-response","10","null","114608","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-010.png","3","Car","119-010.png"
"","4909","image-button-response","11","null","120019","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-010.png","0","Airplane","84-010.png"
"","49338","image-button-response","12","null","169858","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-012.png","11","Watch","54-012.png"
"","11995","image-button-response","13","null","182359","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-013.png","11","Watch","40-013.png"
"","3149","image-button-response","14","null","186008","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-005.png","11","Watch","104-005.png"
"","1804","image-button-response","15","null","188313","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-012.png","3","Car","100-012.png"
"","2109","image-button-response","16","null","190924","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-010.png","6","Cup","72-010.png"
"","2913","image-button-response","17","null","194338","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-006.png","10","Tree","72-006.png"
"","1467","image-button-response","18","null","196319","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-005.png","10","Tree","112-005.png"
"","1900","image-button-response","19","null","198730","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-007.png","9","Rabbit","1-007.png"
"","2662","image-button-response","20","null","201903","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-013.png","2","Bird","31-013.png"
"","10635","image-button-response","21","null","213043","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-008.png","4","Cat","40-008.png"
"","8893","image-button-response","22","null","222443","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-008.png","0","Airplane","37-008.png"
"","25230","image-button-response","23","null","248183","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-006.png","9","Rabbit","81-006.png"
"","9054","image-button-response","24","null","257743","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-007.png","6","Cup","84-007.png"
"","30441","image-button-response","25","null","288694","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-011.png","5","Chair","11-011.png"
"","15859","image-button-response","26","null","305058","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-014.png","5","Chair","46-014.png"
"","12463","image-button-response","27","null","318023","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-013.png","0","Airplane","38-013.png"
"","3196","image-button-response","28","null","321724","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-012.png","0","Airplane","119-012.png"
"","4631","image-button-response","29","null","326859","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-009.png","10","Tree","11-009.png"
"","2843","image-button-response","30","null","330208","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-012.png","3","Car","76-012.png"
"","3484","image-button-response","31","null","334193","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-015.png","9","Rabbit","11-015.png"
"","5341","image-button-response","32","null","340039","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-007.png","2","Bird","40-007.png"
"","3355","image-button-response","33","null","343899","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-011.png","0","Airplane","17-011.png"
"","1988","image-button-response","34","null","346399","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-016.png","3","Car","101-016.png"
"","1644","image-button-response","35","null","348553","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-009.png","8","House","44-009.png"
"","2415","image-button-response","36","null","351484","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-006.png","4","Cat","113-006.png"
"","4129","image-button-response","37","null","356128","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-010.png","8","House","115-010.png"
"","3693","image-button-response","38","null","360324","686d62ec803998618dffb3d1","686dbf34e79a6d54f1008361","6681cd8b12dcb4b45a155c03","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-014.png","11","Watch","18-014.png"
